INDRA UUID	Confidence	PMID	Evidence	Subject	Predicate	Object
1966d208-e6f6-48e2-9c69-ddc3681c767f	1.0	20638476	Transfection experiments and site directed mutagenesis identified a CCAAT box required for the C/EBPbeta mediated HSD17B10 transcriptional regulation.	p(HGNC:CEBPB)	directlyIncreases	act(p(HGNC:HSD17B10))
457834d9-bd9e-451b-83fa-bea45453aa3d	1.0	23755257	In conclusion, the proposed deleterious effect of Abeta on mitochondrial function can not be explained by an inhibition of human mtRNase P or its tRNA : m 1 R9 methyltransferase subcomplex and the molecular mechanism of SDR5C1 mediated Abeta toxicity remains unclear.	p(HGNC:HSD17B10)	directlyIncreases	act(p(HGNC:APP))
c1b3e62d-aff8-4f8a-b314-75ac68bb8682	1.0	25953853	We suggest a mechanism in which MRPP1 and MRPP2 both deliver the pre-tRNA substrate and activate MRPP3 through an induced-fit process.	p(HGNC:HSD17B10)	directlyIncreases	act(p(HGNC:KIAA0391))
705e8774-a8f2-49eb-8be1-08196704daea	1.0	23042678	We had previously hypothesized that SDR5C1 could contribute to RNA binding in the mtRNase P holoenzyme (XREF_BIBR, XREF_BIBR) and consequently the methyltransferase subcomplex as well.	p(HGNC:HSD17B10)	directlyIncreases	act(p(PFAM:PF01877))
04b50200-0574-4f36-8da6-0d7ec087c044	1.0	9890977	We thus asked whether the enzyme might recognize alcohol substrates of which the aldehyde products could be cytotoxic; ERAB and HADH II catalyzed oxidation of a variety of simple alcohols (C2-C10) to their respective aldehydes in the presence of NAD+ and NAD dependent oxidation of 17beta-estradiol.	p(HGNC:HSD17B10)	directlyIncreases	act(a(PUBCHEM:702))
335fa510-e241-48c7-850d-ccf7167c3bd6	1.0	25007702	The inhibition of 17beta-HSD10 would increase these neuroprotective steroid levels in the brain, given that 17beta-HSD10 is present in different brain regions and catalyzes the oxidation of 17betaestradiol and allopregnanolone (and).	p(HGNC:HSD17B10)	directlyIncreases	act(a(PUBCHEM:92787))
1709fdc8-8fba-4890-a5d5-3bc3a7b7bb00	1.0	14672739	In vitro enzyme assays have demonstrated that human type 10 17beta-hydroxysteroid dehydrogenase (17beta-HSD10) catalyzes the oxidation of 5alpha-androstane-3alpha,17 beta-diol (adiol), an almost inactive androgen, to dihydrotestosterone (DHT) rather than androsterone or androstanedione.	p(HGNC:HSD17B10)	directlyIncreases	act(a(PUBCHEM:222865))
55b122ca-c163-47a5-a8d2-e37ef4ac308e	1.0	14672739	In vitro enzyme assays have demonstrated that human type 10 17beta-hydroxysteroid dehydrogenase (17beta-HSD10) catalyzes the oxidation of 5alpha-androstane-3alpha,17 beta-diol (adiol), an almost inactive androgen, to dihydrotestosterone (DHT) rather than androsterone or androstanedione.	p(HGNC:HSD17B10)	directlyIncreases	act(a(PUBCHEM:12306765))
fce86af4-ceee-49b9-881b-9dcb643dd01e	1.0	5465724	Mitochondrial type II hydroxyacyl-CoA dehydrogenase (ERAB) has recently been shown to mediate amyloid-beta peptide (Abeta) induced apoptosis and neurodegeneration.	p(HGNC:HSD17B10)	directlyIncreases	act(bp(GO:"GO:0006915"))
e4f5b946-a3b9-4ae7-b0d1-d1708f0a1faa	1.0	12696021	2-Methyl-3-hydroxybutyryl-CoA dehydrogenase deficiency is caused by mutations in the HADH2 gene.	p(HGNC:HSD17B10)	directlyIncreases	act(a(PUBCHEM:440326))
