INDRA UUID	Confidence	PMID	Evidence	Subject	Predicate	Object
72ee1bf2-e283-4135-9769-cded60b8eb97	1.0	PMC6184755	In a mammalian expression system, DCA activated Kv2.1 by a tyrosine kinase-dependent mechanism.	p(UP:P54212)	directlyIncreases	act(p(HGNC:KCNB1))
04927736-77c5-4ba9-a7f8-3f0f85e0d1eb	1.0	22442077	Oxidant induced oligomerization of wild-type KCNB1 enhanced apoptosis in neuronal cells subject to oxidative insults.	p(HGNC:KCNB1)	directlyIncreases	act(bp(GO:"GO:0006915"))
541a5ca3-0f1d-4c30-89a6-b9999f61cfee	1.0	27484720	In the brain, the ability of KCNE5 to modulate Kv2.1 and several KCNQ isoforms suggests possible leads for its potential roles in the CNS, but these have not been investigated in vivo to my knowledge.KCNE5 coding region sequence variants have been suggested to associate with atrial fibrillation and Brugada syndrome, but not LQTS thus far ().	p(HGNC:KCNE5)	directlyIncreases	act(p(HGNC:KCNB1))
91e23c30-da2e-4292-984d-cdd138570a06	1.0	3537421	These results indicate that phosphorylation via protein kinase A modulates drk1 channel function and that both consensus phosphorylation sites seems to be essential for channels to function.	p(FPLX:PKA)	directlyIncreases	act(p(HGNC:KCNB1))
c4632904-1a7d-46e2-8a69-48c8b4ec8044	1.0	19622611	In the present study we show that an n-terminal tyrosine of kv2.1 (y124), which is a known target of src kinase, is critical for the apoptotic current surge..Kv2.1-mediated k+ currents are also enhanced during non-injurious conditions through direct phosphorylation of intracellular n-terminal residue tyrosine 124 (y124) by src kinase	p(HGNC:SRC)	directlyIncreases	act(p(HGNC:KCNB1))
d250bd2b-267b-4f8c-87a7-a3c8c234af37	1.0	16870705	Ptpalpha inhibits kv channels more strongly than ptpepsilon;this correlates with constitutive association of ptpalpha with kv2.1, driven by membranal localization of ptpalpha.	p(HGNC:KCNB1, pmod(Ph))	directlyDecreases	act(p(HGNC:KCNB1))
253b7aa8-6d31-40a2-ade8-0c409f1bed7d	1.0	10921884	Hypomyelination and increased activity of voltage-gated K(+) channels in mice lacking protein tyrosine phosphatase epsilon	p(HGNC:KCNB1, pmod(Ph, Tyr, 128))	directlyDecreases	act(p(HGNC:KCNB1))
40b76a51-0f5c-4b3b-a345-bcc3794205f4	1.0	19622611	In the present study we show that an n-terminal tyrosine of kv2.1 (y124), which is a known target of src kinase, is critical for the apoptotic current surge..Kv2.1-mediated k+ currents are also enhanced during non-injurious conditions through direct phosphorylation of intracellular n-terminal residue tyrosine 124 (y124) by src kinase	p(HGNC:KCNB1, pmod(Ph, Tyr, 128))	directlyIncreases	act(p(HGNC:KCNB1))
c002b895-9cb9-40e3-b037-0a8cf9937e53	1.0	16870705	Ptpalpha inhibits kv channels more strongly than ptpepsilon;this correlates with constitutive association of ptpalpha with kv2.1, driven by membranal localization of ptpalpha.	p(HGNC:PTPRA)	directlyDecreases	p(HGNC:KCNB1, pmod(Ph))
21b8b485-5d2c-4aeb-aa26-ba2d9f68f1bd	1.0	PMC6686882	We have previously shown that dephosphorylation of Kv2.1 by the nonreceptor-type tyrosine phosphatase PTPepsilon (cyt-PTPepsilon) down-regulates channel activity and counters its phosphorylation and up-regulation by Src or Fyn.	p(HGNC:PTPRE)	directlyDecreases	p(HGNC:KCNB1, pmod(Ph))
e58d8cab-63f8-468f-987c-0faefb66d48c	1.0	10921884	Hypomyelination and increased activity of voltage-gated K(+) channels in mice lacking protein tyrosine phosphatase epsilon	p(HGNC:PTPRE)	directlyDecreases	p(HGNC:KCNB1, pmod(Ph, Tyr, 128))
d909c640-2cfb-472b-996e-078daa99576f	1.0	PMC7117900	Notably, Kv2.1(4.2NT) showed features typically observed for Shaker N-type inactivation: fast inactivation of Kv2.1(4.2NT) channels was slowed by intracellular tetraethylammonium and removed by N-terminal truncation (Delta40).	p(HGNC:FOXH1)	directlyDecreases	act(p(HGNC:KCNB1))
d6b89cc1-0c8b-424d-8c01-414d334ac25c	1.0	PMC5243466	These results indicate that (1) hypoxia reversibly inhibits Kv1.2 and Kv2.1 but not Kv1.5 homomeric channels, (2) Kv1.2 and 1.5 alpha subunits can assemble to form an O(2)-sensitive heteromeric channel, and (3) only Kv1.2/Kv1.5 and Kv2.1/Kv9.3 heteromeric channels are inhibited by hypoxia in the voltage range of the PA VSMC E(M).	p(HGNC:HYOU1)	directlyDecreases	act(p(HGNC:KCNB1))
15cc4b6d-dc2c-4264-8077-2aac9ffeced8	1.0	26377690	In our previous study, we had assessed in the Chinese Han population the association of KCNB1 rs1051295 with metabolic traits indicating metabolic syndrome, and showed that KCNB1 rs1051295 genotype TT was associated with increase of waist to hip ratio (WHR), fasting insulin (FINS), triglycerides (TG) and decreased insulin sensitivity at basal condition.	p(HGNC:KCNB1)	directlyDecreases	act(p(HGNC:INS))
b92b538e-2591-47cc-8429-c1c3b8fdbb4e	1.0	26503721	A novel epileptic encephalopathy mutation in KCNB1 disrupts Kv2.1 ion selectivity, expression, and localization.	p(HGNC:KCNB1)	directlyDecreases	act(bp(GO:"GO:0051179"))
af7d928e-7220-4370-a771-bc6bef5b284b	1.0	27484720	Kv2.1 (KCNB1), which is a delayed rectifier alpha subunit () expressed widely including in mouse and rat heart (), was inhibited 90% by KCNE4, and 50% by KCNE5, with no obvious change in gating kinetics for the remaining current ().	p(HGNC:KCNE4)	directlyDecreases	act(p(HGNC:KCNB1))
d2a96a52-6135-4b4e-ae96-6156d2d33993	1.0	16870705	Ptpalpha inhibits kv channels more strongly than ptpepsilon;this correlates with constitutive association of ptpalpha with kv2.1, driven by membranal localization of ptpalpha.	p(HGNC:PTPRA)	directlyDecreases	act(p(HGNC:KCNB1))
5f8ac7dc-ab93-4fdd-95c9-c8568bc515c2	1.0	10921884	Hypomyelination and increased activity of voltage-gated K(+) channels in mice lacking protein tyrosine phosphatase epsilon	p(HGNC:PTPRE)	directlyDecreases	act(p(HGNC:KCNB1))
