INDRA UUID	Confidence	PMID	Evidence	Subject	Predicate	Object
73a364a0-cc72-4279-bf27-a23c0d850ae1	1.0	25612817	First, the control group and the Keap1 siRNA and peptide complex pretreated group were treated with either 20muM of Abeta for 18h and then cells were assayed.	p(HGNC:APP)	directlyIncreases	act(p(HGNC:KEAP1))
c090d60e-c8f9-422b-a7b6-1ff4b3a70255	1.0	26301506	We found that in tumor cell lines with low or mutant KEAP1, and in Keap1 -/- murine embryonic fibroblasts, multiple KEAP1 targets including NRF2, IKKbeta, and BCL2 were elevated.	p(HGNC:BCL2)	directlyIncreases	act(p(HGNC:KEAP1))
43c5f34c-9431-4b15-b5bd-63edd2b8c650	1.0	20600852	Interestingly, the clusters of IKKbeta were detected with LC3 when cells were transfected with IKKbeta, LC3, and KEAP1, and treated with Bafilomycin A1 which prevents maturation of autophagic vacuoles by inhibiting fusion of autophagosomes and lysosomes (B lower panels).	a(PUBCHEM:6436223)	directlyIncreases	act(p(HGNC:KEAP1))
8911c29f-6986-4cb1-a9a1-179c62a9dd8f	1.0	19321346	This dynamic exchange process seems to be relevant to KEAP1 because CAND1 knockdown diminishes the ability of KEAP1 to target NRF2 for ubiquitin dependent degradation.	p(HGNC:CAND1)	directlyIncreases	act(p(HGNC:KEAP1))
d19758bc-bb90-4942-884c-602574ac4002	1.0	19560419	It is noteworthy that our finding of p21 mediated upregulation of the Nrf2 signaling pathway should not devalue the importance of Keap1 in sensing and regulating Nrf2.	p(HGNC:CDKN1A)	directlyIncreases	act(p(HGNC:KEAP1))
1325bd24-f79e-415e-8c3f-a1a85dca6b96	1.0	15601839	BTB protein Keap1 targets antioxidant transcription factor Nrf2 for ubiquitination by the Cullin 3-Roc1 ligase.	p(PFAM:PF00888)	directlyIncreases	act(p(HGNC:KEAP1))
4b90b02a-9065-445d-9d17-3ed34e1fc367	1.0	24709675	Exposing PCB to these Cav-1 silenced cells resulted in a statistically significant decrease in Fyn and Keap1 compared to Cav-1 silenced cells treated with DMSO.	a(PUBCHEM:679)	directlyIncreases	act(p(HGNC:KEAP1))
58eef35d-f626-4d53-856b-5b753fe40edd	1.0	25628777	Activation of Keap1 and Nrf2 signaling pathway by nuclear epidermal growth factor receptor in cancer cells.	p(HGNC:EGFR)	directlyIncreases	act(p(HGNC:KEAP1))
35b8404e-cb09-451d-b0c2-cb47675e35a9	1.0	19424503	Although ENC1 interacted with Keap1 indirectly, the ENC1 mediated down-regulation of Nrf2 was independent of Keap1.	p(HGNC:ENC1)	directlyIncreases	act(p(HGNC:KEAP1))
f4de6bab-f787-4203-ae87-dadced46043b	1.0	24746615	There are some reports demonstrating the promoter DNA hypermethylation of Keap1 gene in various cancerous cells and tissues [XREF_BIBR - XREF_BIBR], however, we found notable promoter DNA demethylation of Keap1 gene in human diabetic ARCs as well as HLECs treated with various ER stressors, including MGO.	p(HGNC:ESR1)	directlyIncreases	act(p(HGNC:KEAP1))
