INDRA UUID	Confidence	PMID	Evidence	Subject	Predicate	Object
b220ab29-8a67-4ef8-8f52-92fd68fac8cc	1.0	23825109	Since loss of calsyntenin-1 affects APP processing, Abeta production and axonal transport of APP (XREF_BIBR, XREF_BIBR, XREF_BIBR) (and _ FIG), we also monitored JIP1 levels in neurons treated with calsyntenin-1 siRNAs.	p(HGNC:CLSTN1)	directlyIncreases	act(p(HGNC:MAPK8IP1))
413bc938-4ecf-41d1-9716-70c5244b40cb	1.0	12524447	Here we report that jip-1 also binds the dual-specificity phosphatases mkp7 and m3/6 via a region independent of its jnk binding domain.  when mkp7 is bound to jip-1 it reduces jnk activation leading to reduced phosphorylation of the jnk target c-jun	p(HGNC:DUSP16)	directlyIncreases	act(p(HGNC:MAPK8IP1))
35019706-31d7-4485-9874-0398c3836b0e	1.0	7145129	Krox-20 also up-regulates the scaffold protein JNK interacting protein 1 (JIP-1).	p(HGNC:EGR2)	directlyIncreases	act(p(HGNC:MAPK8IP1))
5fa857c0-a7b6-415b-b53c-b14e5772963d	1.0	5263797	The PH domain of APPL shows similarity to those found in GTPase activating proteins such as oligophrenin-1 and Graf, whereas its PTB domain exhibits homology with CED-6, an adaptor protein that promotes engulfment of apoptotic cells, and IB1, a transactivator of the GLUT2 gene.	p(HGNC:GULP1)	directlyIncreases	act(p(HGNC:MAPK8IP1))
838afe27-7c4a-470b-9bb5-388619365945	1.0	18486448	Ship2 positively modulated the mlk3/jip1-mediated jnk1 activation	p(HGNC:INPPL1)	directlyIncreases	act(p(HGNC:MAPK8IP1))
7119d828-b72f-4eb7-a17d-dd19700186ed	1.0	6878849	JIP1 expression enhanced Akt1 kinase activity in a dose dependent manner following serum starvation in 293 cells.	p(HGNC:MAPK8IP1)	directlyIncreases	act(p(HGNC:AKT1))
65171a3c-eacf-4bfe-8577-befdaea43909	1.0	16301330	Finally, because increased availability of JIP-1 promoted transport of pAPP, we tested whether reduction in JIP-1 impairs transport of pAPP into neurites, i.e., whether JIP-1 is necessary for pAPP transport.	p(HGNC:MAPK8IP1)	directlyIncreases	act(p(HGNC:APP))
838090e3-65ee-42f2-9029-005644a4dd90	1.0	18805449	Inhibition of JNK activation by JNK binding domain (JBD) of JNK interacting protein-1 (JIP-1) blocks not only cell death but also the cleavage of caspase-9 and caspase-3 in MPTP and MPP treated dopaminergic neurons ().	p(HGNC:MAPK8IP1)	directlyIncreases	act(p(HGNC:CASP3))
2c9edc9b-9d2f-4f00-840a-5486982e0df2	1.0	18805449	Inhibition of JNK activation by JNK binding domain (JBD) of JNK interacting protein-1 (JIP-1) blocks not only cell death but also the cleavage of caspase-9 and caspase-3 in MPTP and MPP treated dopaminergic neurons ().	p(HGNC:MAPK8IP1)	directlyIncreases	act(p(HGNC:CASP9))
d8e8081c-7024-405b-972f-923779392615	1.0	12524447	The JNK interacting protein-1 scaffold protein targets MAPK phosphatase-7 to dephosphorylate JNK.	p(HGNC:MAPK8IP1)	directlyIncreases	act(p(FPLX:ERK))
71a17809-bc28-4307-beee-8679f4874bc2	1.0	18286207	In order to confirm that JIP1 is necessary for JNK activation in response to IL-1beta, an experiment based on RNAi silencing was performed.	p(HGNC:MAPK8IP1)	directlyIncreases	act(p(HGNC:IL1B))
60fbf27e-b0c8-40a4-b1b6-3a35b3ba9a64	1.0	6627342	These results indicate that the JIP-1 scaffold protein modulates JNK signaling via association with both protein kinases and protein phosphatases that target JNK.	p(HGNC:MAPK8IP1)	directlyIncreases	act(p(FPLX:JNK))
88e018ff-1e03-497d-8196-287a229899b4	1.0	17200414	We then show that JIP1 and FEZ1 cooperate to activate Kinesin-1 for MT binding and motility.	p(HGNC:MAPK8IP1)	directlyIncreases	act(p(UP:Q07970))
885bb38d-a6a8-4df7-b48b-e4d4a31b5963	1.0	10490659	Both jip1 and jip2 selectively bind the mapkk isoform mkk7.	p(HGNC:MAPK8IP1)	directlyIncreases	act(p(HGNC:MAP2K7))
ec4854ae-8c7b-49ee-89f3-f5ea928b7f92	1.0	15767678	The c-jun nh2-terminal kinase (jnk)-interacting protein (jip) group of scaffold proteins (jip1, jip2, and jip3) can interact with components of the jnk signaling pathway and potently activate jnk.	p(HGNC:MAPK8IP1)	directlyIncreases	act(p(HGNC:MAP3K10))
0a74e897-af51-490d-8354-43cfee860771	1.0	16179393	JIP1 mediated the activation of JNK1 induced by glucose deprivation in mouse embryonic fibroblasts, and ectopic expression of Notch1-IC inhibited JNK activation and apoptosis triggered by glucose deprivation.	p(HGNC:MAPK8IP1)	directlyIncreases	act(p(HGNC:MAPK8))
6cfc8819-41ac-48f2-974b-986510d508cb	1.0	5428472	Nitric oxide production was not stimulated by expression of the IB1 antisense RNA.	p(HGNC:MAPK8IP1)	directlyIncreases	act(a(PUBCHEM:145068))
70bd6883-e27e-4436-bcd5-8d104f9fc2e2	1.0	6997902	However, adenovirally mediated overexpression of IB1 and JIP -1 also potentiated TNF-alpha + IFN-gamma-induced apoptosis, suggesting that the antiapoptotic effect of IB1 and JIP -1 depends on well defined cellular levels.	p(HGNC:MAPK8IP1)	directlyIncreases	act(p(HGNC:TNF))
066f36bd-97f3-4e50-a7d7-d80f678fa646	1.0	16301330	Transport of pAPP to neurite terminals in cells transfected with JIP-1 siRNA was restored by cotransfection of human JIP-1, a form that is not down-regulated by the mouse JIP-1 siRNA (XREF_FIG).	p(HGNC:MAPK8IP1)	directlyIncreases	act(bp(GO:"GO:0006810"))
ee565725-4a2f-445d-b536-9a7270d2f9a5	1.0	12740599	Coexpression of IB1 and JIP -1 with other components of the c-Jun NH2 terminal-kinase (JNK) pathway activates the JNK activity; conversely, selective disruption of IB1 and JIP -1 in mice reduces the stress induced apoptosis of neuronal cells.	p(HGNC:MAPK8IP1)	directlyIncreases	act(bp(GO:"GO:0006915"))
36615140-2ecd-4c19-b3b2-a961cf1544c0	1.0	18805449	Inhibition of JNK activation by JNK binding domain (JBD) of JNK interacting protein-1 (JIP-1) blocks not only cell death but also the cleavage of caspase-9 and caspase-3 in MPTP and MPP treated dopaminergic neurons ().	p(HGNC:MAPK8IP1)	directlyIncreases	act(bp(GO:"GO:0008219"))
9e3aa9e8-9fc2-47e8-8a4b-f6ad68f8c349	1.0	25625039	We confirmed the sensitivity of HGF induced single cell motility to JNK inhibition with the two additional JNK inhibitors JIP-1 (153-163) and AEG 3482 (Additional file 4 : Figure S4).	p(HGNC:MAPK8IP1)	directlyIncreases	act(bp(GO:"GO:0016477"))
d01b5699-dc5b-4686-91c1-4715535d8437	1.0	15868948	This finding further supports the notion that JIP-1 and IGF II act in concert to enhance cell proliferation.	p(HGNC:MAPK8IP1)	directlyIncreases	act(bp(GO:"GO:0008283"))
ec1228e8-0974-42f6-8378-9558114a8a19	1.0	5926479	Targeted disruption of the gene MAPK8IP1 encoding IB1 and JIP -1 in mice led to embryonic death prior to blastocyst implantation.	p(HGNC:MAPK8IP1)	directlyIncreases	act(bp(GO:"GO:0008219"))
073a7406-ad7e-4d61-a39e-eeca749f9065	1.0	18286207	The JIP1 signalosome without VRK2 allows signal transmission and subsequent activation of transcription.	p(HGNC:MAPK8IP1)	directlyIncreases	act(bp(GO:"GO:0006351"))
79820c9e-0c5b-4846-bd39-29f82c87ff4f	1.0	16301330	Finally, because increased availability of JIP-1 promoted transport of pAPP, we tested whether reduction in JIP-1 impairs transport of pAPP into neurites, i.e., whether JIP-1 is necessary for pAPP transport.	p(HGNC:MAPK8IP1)	directlyIncreases	act(bp(GO:"GO:0006810"))
8713ceba-2de2-4621-8ebe-62a40cdc4ce2	1.0	6627342	The JNK interacting protein-1 (JIP-1) scaffold protein specifically binds JNK, MAP kinase kinase 7, and members of the MLK family and is essential for stress mediated JNK activation in neurones.	complex(p(HGNC:MAPK8IP1))	directlyIncreases	act(p(FPLX:JNK))
e75639ed-1e64-4527-b9f1-007a33ed6430	1.0	6627342	The JNK interacting protein-1 (JIP-1) scaffold protein specifically binds JNK, MAP kinase kinase 7, and members of the MLK family and is essential for stress mediated JNK activation in neurones.	complex(p(HGNC:MAP2K7), p(HGNC:MAPK8IP1))	directlyIncreases	act(p(FPLX:JNK))
d3225c74-bc87-4650-87ec-eb172c72ff1d	1.0	17545598	Interestingly, TOPK interacted with JNK interacting protein 1 and caused an elevation of JNK interacting protein 1 scaffolding activity, thereby enhancing JNK1 activity.	complex(p(HGNC:MAPK8IP1), p(HGNC:PBK))	directlyIncreases	act(p(HGNC:MAPK8IP1))
d3225c74-bc87-4650-87ec-eb172c72ff1d	1.0	17545598	Interestingly, TOPK interacted with JNK interacting protein 1 and caused an elevation of JNK interacting protein 1 scaffolding activity, thereby enhancing JNK1 activity.	complex(p(HGNC:MAPK8IP1), p(HGNC:PBK))	directlyIncreases	act(p(HGNC:MAPK8IP1))
16d6cde8-a576-4bf2-89a7-342cda1d9c8c	1.0	10490659	Deletion analysis demonstrated that the cooh-terminal regions of jip1 and jip2 were sufficient for the formation of hetero-oligomeric complexes	p(HGNC:MAPK8IP2)	directlyIncreases	act(p(HGNC:MAPK8IP1))
49b68309-c0a9-4a6c-a874-bb0e9e599256	1.0	12756254	Recruitment of jnk to jip1 and jnk-dependent jip1 phosphorylation regulates jnk module dynamics and activation it was observed that phosphorylation by jnk of jip1 on thr-103 and not other phosphorylated jip1 residues is necessary for the regulation of dlk association with jip1, dlk activation, and subsequent module activation.	p(HGNC:MAPK8)	directlyIncreases	act(p(HGNC:MAPK8IP1))
6f917873-323a-4590-9220-25a96fc1ef56	1.0	12756254	Recruitment of jnk to jip1 and jnk-dependent jip1 phosphorylation regulates jnk module dynamics and activation it was observed that phosphorylation by jnk of jip1 on thr-103 and not other phosphorylated jip1 residues is necessary for the regulation of dlk association with jip1, dlk activation, and subsequent module activation.	p(HGNC:MAPK9)	directlyIncreases	act(p(HGNC:MAPK8IP1))
4ae197b3-737f-4937-af64-1a2964b0286e	1.0	16571722	We find that posh and jips directly associate with one another to form a multiprotein complex, pjac (posh-jip apoptotic complex), that includes all of the known kinase components of the pathway. Our observations indicate that this complex is required for jnk activation and cell death in response to apoptotic stimuli.	p(HGNC:SH3RF1)	directlyIncreases	act(p(HGNC:MAPK8IP1))
cb348ef7-4b25-4101-933d-bf7660ee83b7	1.0	21237154	To test whether JIP1 is cleaved in vivo by caspases, HeLa cells were treated with either TRAIL (XREF_FIG) or staurosporine (XREF_FIG) in the presence or the absence of the general caspase inhibitor zVAD.fmk.	p(HGNC:TNFSF10)	directlyIncreases	act(p(HGNC:MAPK8IP1))
