INDRA UUID	Confidence	PMID	Evidence	Subject	Predicate	Object
e21c3d8a-df9b-401c-a85c-c23f05310523	1.0	14557245	Our observation that overexpression of WT APP and APP (V642I) in neurons causes an increase in APP-BP1 protein in the Triton X-100-insoluble fraction suggests that APP-BP1 protein might also be increased in AD brain in the same fraction.	p(HGNC:APP, var("p.Val642Ile"))	directlyIncreases	act(p(HGNC:NAE1))
afdc7263-41c4-4c7b-9ea6-3e75dd273699	1.0	14557245	Our observation that overexpression of WT APP and APP (V642I) in neurons causes an increase in APP-BP1 protein in the Triton X-100-insoluble fraction suggests that APP-BP1 protein might also be increased in AD brain in the same fraction.	p(HGNC:APP)	directlyIncreases	act(p(HGNC:NAE1))
21b98b20-a5b8-45b4-aed9-2cf28397cc87	1.0	26265931	Preliminary experiments identified that endogenic ATP exists in the extract and enables the neddylation reaction to modify the endogenic Cul1 with NEDD8, even without the addition of exogenic ATP or recombinant neddylation enzymes (e.g. APP-BP1 and UBA3 and UBC12) and NEDD8 itself (data not shown).	a(CHEBI:15422)	directlyIncreases	act(p(HGNC:NAE1))
248ece01-35a1-4f7c-bff3-6ae97de66332	1.0	27542266	Like ubiquitination, neddylation of CUL1 is activated through heterodimer E1 activating enzyme (APPBP1 and UBA3) and E2 conjugating (UBE2M and UBE2F) enzymes [XREF_BIBR].	p(HGNC:CUL1)	directlyIncreases	act(p(HGNC:NAE1))
76dc4400-9e7c-4167-9da0-d52cee6c987d	1.0	21249194	Cullin neddylation is mediated by the Nedd8 specific APP-BP1 and Uba3 E1 activating and Ubc12 E2 conjugating enzymes and is reversible via the action of the COP9 signalosome (CSN) XREF_BIBR, XREF_BIBR.	p(PFAM:PF00888)	directlyIncreases	act(p(HGNC:NAE1))
7ebb7a9e-4e75-4549-bdbb-26c9e5521b17	1.0	25229838	The NEDD8 conjugation cascade, called neddylation, is mediated by E1 NEDD8 activating enzyme (NAE1 and UBA3), E2 NEDD8 conjugating enzyme (UBC12), and E3 NEDD8 ligases, which activate and transfer NEDD8 to a target protein successively [XREF_BIBR].	a(PUBCHEM:5870)	directlyIncreases	act(p(HGNC:NAE1))
9a3e553a-df25-4faf-b9ec-9c5d97156e79	1.0	14557245	Our data showing colocalization of APP with APP-BP1 in lipid rafts suggest that not only APP processing but also APP signaling mediated by APP-BP1 may occur in the lipid rafts.	p(HGNC:NAE1)	directlyIncreases	act(p(HGNC:APP))
4cdbc6b9-49fc-4685-ad4e-52c893c09b6e	1.0	14557245	The data that APP-BP1 protein is increased in lipid rafts in hippocampal neurons in AD, and that NEDD8 is translocated to the cytoplasm in this same population of neurons, suggest that elevation of APP-BP1 in lipid rafts may cause the shift in NEDD8 subcellular location.	p(HGNC:NAE1)	directlyIncreases	act(p(HGNC:NEDD8))
4eb9f648-a516-4822-be54-c140c9d6f7e2	1.0	14557245	We have shown that APP-BP1 drives the S- to M-phase transition in dividing cells, and causes apoptosis in neurons (Chen, Y., D.L. McPhie, J. Hirschberg, and R.L. Neve.	p(HGNC:NAE1)	directlyIncreases	act(p(UP:P05135))
a9a1ab79-12f0-4951-8ea7-08190843a661	1.0	21151996	Overexpression of APP-BP1 in primary neurons induces apoptosis and increases DNA synthesis XREF_BIBR.	p(HGNC:NAE1)	directlyIncreases	act(bp(GO:"GO:0006915"))
