INDRA UUID	Confidence	PMID	Evidence	Subject	Predicate	Object
eb7b30df-3792-4faf-879c-5de8c334a4a3	1.0	17689978	The association of XB51 and NECAB3 with X11L abolished the suppression of Abeta production by X11L, producing a net increment in Abetageneration ().	p(HGNC:NECAB3)	directlyIncreases	act(p(HGNC:APP))
e0ed1619-1498-417d-be72-9eacf1f8739b	1.0	26948053	NECAB3 Promotes Activation of Hypoxia inducible factor-1 during Normoxia and Enhances Tumourigenicity of Cancer Cells.	p(HGNC:NECAB3)	directlyIncreases	act(p(FPLX:HIF1))
f89f23b5-4c68-49b7-96e5-1c720bb46d25	1.0	26948053	Importantly, inhibition of NECAB3 suppresses normoxic glycolysis in cancer cells and reduces tumourigenicity.	p(HGNC:NECAB3)	directlyIncreases	act(bp(GO:"GO:0006096"))
ef0a2075-8904-4792-a739-716ee5efe879	1.0	26948053	Therefore, lactate production in control or NECAB3 depleted HT1080 cells was evaluated following transient siRNA knockdown of Mint3 or MT1-MMP.	a(CHEBI:24996)	directlyIncreases	act(p(HGNC:NECAB3))
8f4c34fb-e823-457f-b908-8d2fb2a27498	1.0	26948053	Remarkably, NECAB3 mutants that bind Mint3 but lack an intact monooxygenase domain specifically suppressed expression of HIF-1 target genes (XREF_FIG, N1 and H/A).	p(HGNC:NECAB3, var("p.?"))	directlyDecreases	p(FPLX:HIF1)
6c525b62-792b-41ac-a445-1b0080de65b2	1.0	26948053	Depletion of NECAB3 decreased the expression of HIF-1 target genes and reduced glycolysis in normoxic cancer cells.	p(HGNC:NECAB3)	directlyDecreases	p(FPLX:HIF1)
815615a0-2243-4fca-a10f-5e11e1d6c38a	1.0	26948053	V5 tagged wild type or mutant NECAB3 was stably expressed in parental HT1080 cells (XREF_FIG), and real-time RT-PCR indicated that exogenous wild type NECAB3 did not stimulate expression of HIF-1 target genes (XREF_FIG, WT).	p(HGNC:NECAB3)	directlyIncreases	p(FPLX:HIF1)
c1e23c1a-6d45-44cd-818c-99abc2b836f6	1.0	26948053	NECAB3 mutants that binds Mint3 but lacks an intact monooxygenase domain also inhibited HIF-1 activation.	p(HGNC:NECAB3, var("p.?"))	directlyDecreases	act(p(FPLX:HIF1))
d4ed974d-9a53-4677-85c5-cc16757c5641	1.0	10833507	The protein XB51 inhibited the association of X11L with amyloid precursor protein through a non competitive mechanism and abolished the suppression of beta-amyloid production by X11L.	p(HGNC:NECAB3)	directlyDecreases	act(p(HGNC:APBA2))
51cecd8c-f779-48fa-a798-1871a85af530	1.0	26948053	As NECAB3 depletion suppressed HIF-1 activity and glycolysis during normoxia in HT1080 cells (XREF_FIG), we tested whether exogenous expression of NECAB3 or its mutants boosts HIF-1 activity.	p(HGNC:NECAB3)	directlyDecreases	act(p(FPLX:HIF1))
bbdb5c59-169f-4940-bdca-23ff02fe1808	1.0	26948053	As NECAB3 depletion suppressed HIF-1 activity and glycolysis during normoxia in HT1080 cells (XREF_FIG), we tested whether exogenous expression of NECAB3 or its mutants boosts HIF-1 activity.	p(HGNC:NECAB3)	directlyDecreases	act(bp(GO:"GO:0006096"))
24f6ff2a-4c81-4a5f-9ea2-f0501afd65f8	1.0	17689978	Also, using the same yeast two-hybrid system approach, NECAB3 was isolated as a partner for Nek2, a mammalian protein kinase that acts as mitotic regulator; in fact, Nek2 can phosphorylate NECAB3 in vivo ().	p(HGNC:NEK2)	directlyIncreases	p(HGNC:NECAB3, pmod(Ph))
