INDRA UUID	Confidence	PMID	Evidence	Subject	Predicate	Object
ad000826-7a10-4309-ade8-e815044b5f5d	1.0	16546275	As shown in, activin A increased the transactivation capacity of E47, and Neurogenin3, but rather decreased that of HNF-1alpha.	p(FPLX:"Activin_A")	directlyIncreases	act(p(HGNC:NEUROG3))
1e1421c0-eec2-461e-9057-f95c998405b0	1.0	22266316	In CV-1 cells, which express little CCAR1, ectopically expressed CCAR1 enhance Ngn3 induced expression of the reporter gene driven by the NeuroD promoter.	p(HGNC:CCAR1)	directlyIncreases	act(p(HGNC:NEUROG3))
df1b3d1b-73a7-4227-aa49-918e41ba0bed	1.0	20215568	INSM1 is transiently activated by the islet specific endocrine factor neurogenin 3, and it subsequently regulates downstream target genes NeuroD1 and insulin during beta-cell maturation.	p(HGNC:INSM1)	directlyIncreases	act(p(HGNC:NEUROG3))
40691504-bc4f-48ef-84ae-e93eab42e325	1.0	22606327	Myt1 Enhances Ngn3 induced Reprogramming.	p(HGNC:MYT1)	directlyIncreases	act(p(HGNC:NEUROG3))
bef3c6da-5d7a-4310-9473-a5d33e5afb9a	1.0	22606327	Myt1 had no effect, however, on the expression of Ngn3 and several direct Ngn3 targets such as NeuroD1, Nkx2.2, and Insm1 whereas it enhanced transcription of Pax4.	p(HGNC:NEUROD1)	directlyIncreases	act(p(HGNC:NEUROG3))
ca6ade4b-6e26-4f1d-be93-0c1018681e00	1.0	5459323	More importantly, overexpression of ngn3 can induce the ectopic expression of BETA2 in Xenopus embryos and stimulate the endogenous RNA of BETA2 in endocrine cell lines.	p(HGNC:NEUROG3)	directlyIncreases	act(p(HGNC:NEUROD1))
7d09a941-4cd2-4e89-876e-d891d5862f93	1.0	20807725	Therefore, we analysed whether NGN3 expression led to the expression of other RAB3 genes as well as RAB27A.	p(HGNC:NEUROG3)	directlyIncreases	act(p(HGNC:RAB27A))
a880ef91-9d7a-4f33-8e2b-401bd56b3432	1.0	12808085	Activated Akt1 also significantly augments the transcriptional activity of the bHLH protein neurogenin 3 in complex with the coactivators p300 or CBP.	p(HGNC:NEUROG3)	directlyIncreases	act(p(HGNC:AKT1))
15e69cae-9a56-48d1-b607-5010fe1ed356	1.0	22387004	Analysis performed in mice further shows that Arx functions in the Ngn3 + endocrine progenitors to promote gastrin, glucagon/GLP-1, CCK and secretin lineages, while simultaneously repressing the somatostatin cell lineage in the GI tract.	p(HGNC:NEUROG3)	directlyIncreases	act(p(HGNC:CCK))
26c5c16c-78b7-4ee9-b8db-f0d6186301fb	1.0	12403815	Expression of ngn3 in adult human duct cells induced Notch ligands Dll1 and Dll4 and neuroendocrine- and beta-cell-specific markers : it increased the percentage of synaptophysin- and insulin positive cells 15-fold in ngn3 infected versus control cells.	p(HGNC:NEUROG3)	directlyIncreases	act(p(HGNC:DLL1))
