INDRA UUID	Confidence	PMID	Evidence	Subject	Predicate	Object
6b7ca4e2-ee56-4cf3-86bf-8eb8df98a099	1.0	19535145	Furthermore, a high affinity binding of the intermediate domain of AAMP (aa 123-289) was only observed to Nod2 and not to Nod1 (data not shown), indicating that different domains of AAMP might be important to mediate binding and regulation of Nod1 and Nod2.	p(HGNC:AAMP)	directlyIncreases	act(p(HGNC:NOD2))
a5c1d09c-917f-4e1b-8f66-93175a344b95	1.0	21887730	GEF-H1 was able to activate NF-kappaB independently of NOD2; however, the recognition of MDP required NOD2 in macrophages, as expected (XREF_FIG).	p(HGNC:ARHGEF2)	directlyIncreases	act(p(HGNC:NOD2))
663392f4-3c2d-46f3-889e-fd300d48bba0	1.0	18684957	Beta-PIX and Rac1 GTPase mediate trafficking and negative regulation of NOD2.	p(HGNC:ARHGEF7)	directlyIncreases	act(p(HGNC:NOD2))
77963a8f-dd6e-47c1-b119-ecec6e0458ac	1.0	22549783	Further, mutations that modeling predicts may be involved in ATP hydrolysis result in constitutive activation of NOD2 signaling, suggesting that ATP hydrolysis may drive inactivation of NOD2 (XREF_BIBR).	a(CHEBI:15422)	directlyIncreases	act(p(HGNC:NOD2))
a827ef61-4676-4ce2-bbe4-3ac6d423c900	1.0	16949315	Addition of OVA peptide to the cultures led to greater number of cell divisions of OVA specific CD4 T cells presented Ag by PGN stimulated NOD2 deficient APCs than T cells presented Ag by PGN stimulated NOD2-intact APCs (B).	a(PUBCHEM:104755)	directlyIncreases	act(p(HGNC:NOD2))
924064e7-7d1f-4767-ab74-4bbb32fc23c3	1.0	23109427	Transcriptome analysis, combined with pharmacologic inhibition of cIAP1, further defines specific pathways within the NOD2 signaling pathway that are targeted by cIAP1.	p(HGNC:BIRC2)	directlyIncreases	act(p(HGNC:NOD2))
a803e7ab-f660-41bc-84c0-cf9f74ab3792	1.0	24960071	To test whether the NOD2 CARD9 interaction is CARD mediated we expressed the CARDs of human NOD2, murine CARD9 and human RIP2 as recombinant proteins fused to solubility-enhancement and epitope tags.	p(PFAM:PF00619)	directlyIncreases	act(p(HGNC:NOD2))
2c407397-320e-4fd8-b2e1-1e7359f033e6	1.0	17997161	However, CD14 () and nucleotide binding oligomerization domain (NOD) family members are needed for PGN recognition, though Gram positive bacterial PGN preferentially activates NOD2 ().	p(HGNC:CD14)	directlyIncreases	act(p(HGNC:NOD2))
272ab7a4-6a69-4225-af58-ec02f0b22170	1.0	16949315	In addition, there was no difference in the percentage of apoptotic OVA specific CD4 Tcells when the latter were cultured with LPS-MDP-PamCSK4- or CpG stimulated NOD2 deficient versus NOD2-intact APCs.An additional possible effect of increased IL-12 production by PGN stimulated NOD2 deficient APCs presenting an Ag to CD4 T cells is that the latter manifest increased proliferation.	p(HGNC:CD4)	directlyIncreases	act(p(HGNC:NOD2))
b60c648b-8c7c-43a6-a72c-95de02d7f7d9	1.0	26997266	Remarkably, depletion of CYLD under these conditions restored RIPK2 ubiquitination to comparable levels as in NOD2 stimulated cells not treated with CpA (XREF_FIG A, compare lane 8 with lanes 3 and 7).	p(HGNC:CPA1)	directlyIncreases	act(p(HGNC:NOD2))
3c34615d-3077-4ca4-be30-d16b4d24fe95	1.0	22544929	We find that MDDC from CGGGG-insertion carriers show dramatically increased expression of TNF-alpha (XREF_FIG), IL-12p40, IL-8, IL-1beta and IL-10 following stimulation of Nod2 or TLR2 with gene-dose and PRR ligand-dose effects.	p(HGNC:CXCL8)	directlyIncreases	act(p(HGNC:NOD2))
bbf794f2-8c2b-4e4e-9249-50ff0fc08509	1.0	16714539	Subsequent analysis of the Erbin and Nod2 interaction revealed that the LRR of Erbin and the caspase activating and recruiting domains of Nod2 were necessary for this interaction.	p(FPLX:Caspase)	directlyIncreases	act(p(HGNC:NOD2))
81ace5c6-6925-44e5-a89c-7e13f9739947	1.0	19299732	We now report the identification of an endocytosis pathway dependent on clathrin and dynamin that mediates MDP internalization and NOD2 activation.	p(FPLX:Clathrin)	directlyIncreases	act(p(HGNC:NOD2))
1dfbff8e-3bc8-4788-8c30-6c6054550ca1	1.0	19299732	Furthermore, MDP uptake and NOD2 dependent signaling were impaired by inhibition of dynamin, a GTPase required for budding of clathrin coated vesicles from the plasma membrane.	p(FPLX:DNM)	directlyIncreases	act(p(HGNC:NOD2))
6ac38c59-7cfe-40d6-9f65-ca36c9a63fb5	1.0	23991106	First, we addressed whether PTPN22 expression in THP-1 cells might be regulated by MDP induced NOD2 activation.	p(HGNC:DPEP1)	directlyIncreases	act(p(HGNC:NOD2))
b153de0d-f1a5-4ada-bd7c-6fd89bff019c	1.0	22829933	This is evidenced by the finding that knock-down of endogenous TRIM27 as well as overexpression of TRIM27 E3 inhibited NOD2 degradation (XREF_FIG).	p(FPLX:"E3_Ub_ligase")	directlyIncreases	act(p(HGNC:NOD2))
c6efe7e4-200c-4d9e-9bdd-f2d839b51c14	1.0	20698950	CD147 is a regulator of cellular migration, differentiation and inflammatory processes [XREF_BIBR] and Erbin potentially regulates NOD2 and is involved in cell polarity, receptor localization and regulation of MAPK pathways [XREF_BIBR].	p(HGNC:ERBIN)	directlyIncreases	act(p(HGNC:NOD2))
03e4e08b-4720-4604-b8ec-72d4dd6d2e72	1.0	25825396	We further found that platelets express RIP2 (receptor interacting protein 2), and provided evidences suggesting that MAPK and NO/sGC/cGMP/PGK pathways downstream of RIP2 mediate the role of NOD2 in platelets.	p(FPLX:ERK)	directlyIncreases	act(p(HGNC:NOD2))
13af461f-cf24-4831-9cd1-b6b29aefde6b	1.0	25433720	These results offer further evidence that NOD2 can be activated by FGF9, regardless of wild-type or Crohn 's disease associated mutant NOD2, and this NOD2 activation can down-regulate expression of human enteric alpha-defensins.	p(HGNC:FGF9)	directlyIncreases	act(p(HGNC:NOD2))
63dbab86-07f1-4bad-9113-ac5511587150	1.0	23322906	To further examine roles for RNF31 and UBE2D3 in stimulating NF-kappaB activation, we treated our reporter cells with two different Gram positive bacteria that activate NOD2 signaling.	p(PFAM:PF02893)	directlyIncreases	act(p(HGNC:NOD2))
4e039eee-01e2-46a4-931a-e4b55b8be0a2	1.0	19830732	NOD2 up-regulation was mediated by an increase in histone acetylation in the Nod2 promoter region, leading to enhanced PGN induced IL-8 and GRO-alpha secretion.	p(FPLX:Histone)	directlyIncreases	act(p(HGNC:NOD2))
c3d27910-5e41-4321-a36a-5a1804f7a65b	1.0	23380085	In addition, IFN-gamma treatment induced IL-6, ICAM-1, and NOD2 mRNA ().	p(HGNC:IFNG)	directlyIncreases	act(p(HGNC:NOD2))
350563f2-94a6-49f0-afe6-97631827a685	1.0	22544929	We find that MDDC from CGGGG-insertion carriers show dramatically increased expression of TNF-alpha (XREF_FIG), IL-12p40, IL-8, IL-1beta and IL-10 following stimulation of Nod2 or TLR2 with gene-dose and PRR ligand-dose effects.	p(HGNC:IL10)	directlyIncreases	act(p(HGNC:NOD2))
