INDRA UUID	Confidence	PMID	Evidence	Subject	Predicate	Object
14ca2b46-1da0-4bba-8f10-d6cb9ceec7db	1.0	16805430	Adenosine and PACAP (pituitary adenylate cyclase activating polypeptide) induce Trk activation specifically through their respective GPCRs to promote cell survival.	p(HGNC:ADCYAP1)	directlyIncreases	act(p(HGNC:NTRK1))
762d893f-38a0-4c46-b500-4e91211621b1	1.0	23332094	Finally, we examined the expression of downstream targets of Trk signaling such as MAPK p38 and PI3K-AKT pathways.	p(FPLX:AKT)	directlyIncreases	act(p(HGNC:NTRK1))
95764386-c3cf-4b17-8beb-f268460c426a	1.0	12150951	Shc binding and MAPK or PI3K and Akt signaling are also induced when extracellular ligands, including the nerve growth factor (NGF), bind to TrkA, raising the possibility that tyrosine phosphorylation of APP could modulate TrkA signaling via Shc, or vice versa.	p(HGNC:APP)	directlyIncreases	act(p(HGNC:NTRK1))
9a87df31-f68b-40ff-b466-04956ca62fd2	1.0	25512616	Previous research has shown that ASCL1 is critical for the development of C cells and promoting MTC tumor growth (XREF_BIBR, XREF_BIBR).	p(HGNC:ASCL1)	directlyIncreases	act(p(HGNC:NTRK1))
73c9102d-9443-45ec-8895-25c7a725a001	1.0	16805430	Adenosine and PACAP (pituitary adenylate cyclase activating polypeptide) induce Trk activation specifically through their respective GPCRs to promote cell survival.	a(PUBCHEM:60961)	directlyIncreases	act(p(HGNC:NTRK1))
8d18c169-4762-4083-bc80-0dde42d4a7df	1.0	12843241	Although neurotrophins did not regulate p75NTR processing, the alpha- and gamma-secretase-mediated cleavage of p75 is modulated by receptor tyrosine kinases (Trks) TrkA and TrkB but not TrkC.	p(UP:P10277)	directlyIncreases	act(p(HGNC:NTRK1))
eaa4e1c3-07ff-4a3e-bce8-73bab0408faa	1.0	25650935	Furthermore, NGF and BDNF enhance the binding of their cognate Trk receptor with a selectivity that is greater for the complex than for the NT alone, whereas NT-3 and NT-4/5 do not have the same effect on TrkC and TrkB, respectively.	p(HGNC:BDNF)	directlyIncreases	act(p(HGNC:NTRK1))
13c3a3ae-d298-4bf6-a73f-53effc4bc81d	1.0	23598407	XREF_BIBR, XREF_BIBR However, BDNF can also binds to p75 NTR, which could either potentiate Trk function XREF_BIBR, XREF_BIBR, XREF_BIBR, XREF_BIBR or signal independently to activate cell death cascades.	complex(p(HGNC:BDNF), p(PFAM:PF01759))	directlyIncreases	act(p(HGNC:NTRK1))
531111b9-d97b-4014-a456-cd66563777e1	1.0	25948268	Bex3 dimerization and shuttling to the nucleus regulate the transcription of the trkA promoter under basal conditions and also enhance nerve growth factor (NGF)-mediated trkA promoter activation.	p(HGNC:BEX3)	directlyIncreases	act(p(HGNC:NTRK1))
c8d66385-c1fe-4cbf-91fe-1ba4763ea1c2	1.0	5045332	Consistent with this, crosslinking studies show that C2-ceramide promotes the formation of active trkA receptor homodimers.	a(PUBCHEM:5497136)	directlyIncreases	act(p(HGNC:NTRK1))
