INDRA UUID	Confidence	PMID	Evidence	Subject	Predicate	Object
283e43fc-c7d1-41bf-8b26-01ea6283fde4	1.0	25137013	XREF_BIBR - XREF_BIBR Methylation of p53 or Numb results in the downregulation of apoptosis either by antagonizing p53 acetylation, which is required for p53 mediated transcriptional activation, or promoting p53 ubiquitination for degradation.	p(HGNC:NUMB, pmod(Me))	directlyIncreases	p(HGNC:TP53, pmod(Ac))
b3b6ab51-def2-424f-975e-6ceaef0c8df7	1.0	18657069	Collectively, these observations demonstrate that numb endocytic activity is regulated by aak1 and that phosphorylation may be a critical step in promoting coated pit maturation.	p(HGNC:AAK1)	directlyIncreases	act(p(HGNC:NUMB))
78b5ad10-1331-4e6d-bce7-05c8d1794212	1.0	23816696	Our results showed that overexpression of C/EBPalpha increased Numb transcription level in Huh7 cells.	p(HGNC:CEBPA)	directlyIncreases	act(p(HGNC:NUMB))
1496a969-2850-42f4-b42d-c210a2b7b0af	1.0	11782429	LNX functions as a RING type E3 ubiquitin ligase that targets the cell fate determinant Numb for ubiquitin dependent degradation.	p(FPLX:"E3_Ub_ligase")	directlyIncreases	act(p(HGNC:NUMB))
59e39794-36ab-4194-a893-89e9ec0fa275	1.0	22553175	Recent evidence suggests that epidermal growth factor receptor (EGFR) activity promotes the transition from neural stem cell to intermediate progenitor cell by upregulating Numb and inhibiting Notch [XREF_BIBR].	p(HGNC:EGFR)	directlyIncreases	act(p(HGNC:NUMB))
c5a2cfd1-0dda-464b-b343-f111b3951abf	1.0	22196886	Interestingly, when IKKalpha was co-expressed in the transfection experiments, only FOXA2 (HNF3beta)-upregulated NUMB mRNA level was reduced, indicating that FOXA2 activated NUMB transcription can be inhibited by IKKalpha (XREF_FIG).	p(HGNC:FOXA2)	directlyIncreases	act(p(HGNC:NUMB))
4739107a-964c-4d43-a331-d4c5b27a3679	1.0	6753516	In Drosophila neuroblasts, the Par protein complex localizes apically and directs localization of the cell fate determinants Prospero and Numb and the adaptor proteins Miranda and Pon to the basal cell cortex, to ensure their segregation into the basal daughter cell.	p(HGNC:JTB)	directlyIncreases	act(p(HGNC:NUMB))
b1831f8d-6875-491f-810a-bcd507379ba1	1.0	16122940	This interaction is mediated by the NPXY motif of LNX1 and leads to ubiquitination of Numb by the RING domain of LNX1, thereby targeting Numb to proteasomal degradation ().	p(HGNC:LNX1)	directlyIncreases	act(p(HGNC:NUMB))
2cd4e038-eaa4-4cd0-8186-78a376eb6e02	1.0	23715514	Although Numb was markedly increased by Msi1 KD in A549 cells, intracellular Notch was below detection in both control and Msi1 KD cells, making the association between Numb and Notch inconclusive.	p(HGNC:MSI1)	directlyIncreases	act(p(HGNC:NUMB))
b6930bf3-e8d3-4454-ae5d-ec6acdfb1256	1.0	28223335	MSI2 promotes drug resistance and malignant biology of PC in a p53 dependent manner.-Sheng, W., Dong, M., Chen, C., Wang, Z., Li, Y., Wang, K., Li, Y., Zhou, J. Cooperation of Musashi-2, Numb, MDM2, and P53 in drug resistance and malignant biology of pancreatic cancer.	p(HGNC:MSI2)	directlyIncreases	act(p(HGNC:NUMB))
abede685-6457-440e-875e-95fa1895389c	1.0	20844536	Finally, siRNA mediated knockdown of Numb in vivo caused upregulation of Notch1 and Hes1 activity (XREF_FIG).	p(HGNC:NUMB)	directlyIncreases	act(p(HGNC:GATD3A))
9e67866e-9ae2-4f32-bbc8-decdc81a612f	1.0	23872314	These results suggest that Numb might enhance Claudin-2 degradation posttranslationally.We investigated whether Numb can alter F-actin structure before and after the Ca switch assay.	p(HGNC:NUMB)	directlyIncreases	act(p(HGNC:CLDN2))
48486e46-ba34-41df-a0f3-ad65b8fcd86b	1.0	23140583	Since Numb and Notch are crucial in tumorigenesis, it is expected that Notch and Numb modulate the aforementioned processes, in part, by modifying Ca sensitive signaling pathways.	p(HGNC:NUMB)	directlyIncreases	act(a(CHEBI:29108))
08e2a0fc-3df7-4c92-8838-6934d6104c07	1.0	24770339	Numb Promotes Cell Proliferation and Correlates with Poor Prognosis in Hepatocellular Carcinoma.	p(HGNC:NUMB)	directlyIncreases	act(bp(GO:"GO:0008283"))
37455660-4afc-46cc-b482-c19ad525d3ba	1.0	5227414	Neuronal cell fate decisions are directed in Drosophila by NUMB, a signaling adapter protein with two protein protein interaction domains : a phosphotyrosine binding domain and a proline rich region (PRR) that functions as an SH3 binding domain.	p(HGNC:NUMB)	directlyIncreases	act(p(HGNC:FATE1))
af570b12-3104-4a1d-9537-8f4bc63097b3	1.0	22196886	Collectively, these results indicate that FOXA2 increases NUMB expression and that inhibition of FOXA2 activity by TNFalpha results in downregulation of NUMB and activation of NOTCH1.	p(HGNC:NUMB)	directlyIncreases	act(p(HGNC:FOXA2))
