INDRA UUID	Confidence	PMID	Evidence	Subject	Predicate	Object
16adbe64-1810-4526-95fa-78d211ed5d98	1.0	3740891	We now report that binding of a physiological ligand, dimeric IgA, to pIgR stimulates pIgR transcytosis.	p(HGNC:CD79A)	directlyIncreases	act(p(HGNC:PIGR))
03c705e5-6743-4d39-80a0-e41ccfea3221	1.0	3276955	Binding of dimeric IgA (dIgA) to the pIgR stimulates transcytosis of the pIgR.	complex(p(HGNC:CD79A), p(HGNC:PIGR))	directlyIncreases	act(p(HGNC:PIGR))
022fac57-1b66-4518-a2ca-876128522ba3	1.0	16484220	Expression of ARNO stimulates apical endocytosis of the polymeric immunoglobulin receptor, and coexpression of ARF6 with ARNO leads to a synergistic stimulation of apical endocytosis.	p(HGNC:CYTH2)	directlyIncreases	act(p(HGNC:PIGR))
cbc9b7d0-fc0a-493a-8820-683b72a593e1	1.0	11832247	This prompted us to ask whether rab3b played a role in the Ca stimulated transcytosis of dIgA and pIgR.	a(CHEBI:29108)	directlyIncreases	act(p(HGNC:PIGR))
6b496441-6839-4b43-9bff-53995b68e2dd	1.0	22732652	Next, single concentrations of PGE-OH (4muM) or butaprost (6muM) were administered in the presence of the neurotoxin to determine whether the TTX sensitive secretory component was mediated by either EP or EP receptors.	p(HGNC:DBI)	directlyIncreases	act(p(HGNC:PIGR))
6b77eb68-3b79-4814-b7af-8831e692b683	1.0	3864898	This assay was used to determine if induction of pIgR by IFN-gamma is mediated by accumulation of pIgR mRNA.	p(HGNC:IFNG)	directlyIncreases	act(p(HGNC:PIGR))
9bc44df1-a9f8-4874-acfe-89eebeb77cd3	1.0	11034397	In this study, we demonstrate that IL-4 mediates up-regulation of human pIgR through a 554-bp IL-4-responsive enhancer in intron 1.	p(HGNC:IL4)	directlyIncreases	act(p(HGNC:PIGR))
38b7f1f8-1d1d-4ec1-a562-0708430e355b	1.0	9182878	This sequence of events is consistent with the previous observations that induction of pIgR mRNA by IFN-y is delayed (peaking at 24 hr) and is blocked by cycloheximide (Piskurich et al., 1993), since IRF-1 would need to be newly synthesized in sufficient concentration to regulate the pIgR gene.	p(HGNC:IRF1)	directlyIncreases	act(p(HGNC:PIGR))
4f9ed8ed-1d5e-4e7f-8c02-005ee6edacba	1.0	4734208	Binding of dimeric immunoglobulin (Ig) A to the polymeric Ig receptor (pIgR) stimulates transcytosis of pIgR across epithelial cells.	p(PFAM:PF00047)	directlyIncreases	act(p(HGNC:PIGR))
afedc5a9-a506-4036-9843-a282592bdc1b	1.0	15972671	Both dsRNA and LPS up-regulated levels of pIgR mRNA and cell surface pIgR protein.	a(CHEBI:16412)	directlyIncreases	act(p(HGNC:PIGR))
01798ab9-268b-43ab-b745-b00d31951692	1.0	5768130	In contrast we show here that human Madrin-Darby Canine Kidney (pIgR)-transcytosis, in human Calu-3 and human pIgR transfected MDCK cells, is not promoted by pIgA, as monitored by a continuous apical release of its secreted ectodomain.	p(HGNC:PIGA)	directlyIncreases	act(p(HGNC:PIGR))
eb58469a-0221-4732-8739-eee6bce8a240	1.0	11034397	The polymeric IgR (pIgR) mediates transport of dimeric IgA and pentameric IgM across mucosal epithelia, thereby generating secretory Abs.	p(HGNC:PIGR)	directlyIncreases	act(p(HGNC:CD79A))
0c6767e5-d71a-40c2-baa5-5cdcabfe3c85	1.0	24694107	The extracellular component of PIGR can also be cleaved off to produce SC without being bound to IgA molecules and then acts as a scavenger on the mucosal lining [XREF_BIBR].	p(HGNC:PIGR)	directlyIncreases	act(p(HGNC:ERMAP))
97431556-2177-47a8-a7d1-3e0d018b8789	1.0	21965228	Next, we questioned whether growth inhibition was related to endoplasmic reticulum (ER) stress induced by pIgR sequestration in the ER.	p(HGNC:PIGR)	directlyIncreases	act(p(HGNC:ESR1))
4d964a1c-b1bd-43db-8784-0dbbf8c75ca2	1.0	3864898	After an initial lag of 12 hr, pIgR mRNA increased seven-fold in response to IFN-gamma, reaching a plateau at 24 hr.	p(HGNC:PIGR)	directlyIncreases	act(p(HGNC:IFNG))
d3b30f8a-f36f-416e-994b-6bad60d4e72f	1.0	3405852	Butyrate facilitated the constitutive expression of secretory component and HLA class I. Butyrate furthermore tended to enhance cytokine mediated stimulation of protein expression, although tumour necrosis factor alpha (TNF) and interleukin 4 (IL 4) responses on HLA class I and secretory component, respectively, were relatively inhibited by butyrate.	p(HGNC:PIGR)	directlyIncreases	act(p(HGNC:IL4))
ced40a42-2402-4196-82dc-b1b7a3473d10	1.0	22025622	The Role of Polymeric Immunoglobulin Receptor in Inflammation Induced Tumor Metastasis of Human Hepatocellular Carcinoma.	p(HGNC:PIGR)	directlyIncreases	act(bp(MESH:D009362))
6181f1ed-bccc-41c6-bd8a-146e63f42655	1.0	21965228	We found that pIgR overexpression in A549 and 16-HBE induced NOTCH3 downregulation, validating the observations made by gene expression analysis.	p(HGNC:PIGR)	directlyIncreases	act(p(HGNC:NOTCH3))
784ee4a0-e81d-432e-8b6c-88005c7bee69	1.0	9182878	Up-regulation of pIgR expression increases the capacity of mucosal epithelial cells to transport pIgR, thus enhancing all three functions of IgA.	p(HGNC:PIGR)	directlyIncreases	act(p(HGNC:PIGR))
784ee4a0-e81d-432e-8b6c-88005c7bee69	1.0	9182878	Up-regulation of pIgR expression increases the capacity of mucosal epithelial cells to transport pIgR, thus enhancing all three functions of IgA.	p(HGNC:PIGR)	directlyIncreases	act(p(HGNC:PIGR))
29f97902-d140-448c-b908-ac77b3747c9c	1.0	4075355	Artificially activating PKC with phorbol myristate acetate or poisoning the calcium pump with thapsigargin stimulates transcytosis of pIgR, while the intracellular Ca chelator BAPTA-AM inhibits transcytosis.	p(HGNC:PIGR)	directlyIncreases	act(p(FPLX:PKC))
8a9c1a27-e9e1-4d94-ad45-f67e42a2eeee	1.0	22025622	In agreement with these findings, overexpression of pIgR in MDCK and SMMC-7721 cells dramatically activated uPA activity (XREF_FIG), a hallmark of cancer cell invasion and metastasis (XREF_BIBR, XREF_BIBR).	p(HGNC:PIGR)	directlyIncreases	act(p(HGNC:PLAU))
06171fc1-f731-4010-b257-3b816f0a942e	1.0	22025622	To further map which residues in the cytoplasmic domain of pIgR are essential for signaling in EMT induction, we performed a series of point mutations in tyrosine residues 677 and 743 and serine residues 673, 682, 734, and 735, because phosphorylation of these residues is likely to play a signaling role in pIgR mediated EMT induction.	p(HGNC:PIGR)	directlyIncreases	act(bp(GO:"GO:0001837"))
1f9b16a7-24ad-4934-8409-72d42bb60721	1.0	22025622	These reciprocal co-immunoprecipitation data suggest that pIgR activates Smad signaling by recruiting the Smad2/3 complex.	p(HGNC:PIGR)	directlyIncreases	act(p(FPLX:"SMAD2_3"))
68d3cb7e-fb9c-4bf9-9954-6d5afd38d3e6	1.0	22025622	To determine whether pIgR promotes Smad activation in vivo, we examined Smad2/3 phosphorylation in HCC samples.	p(HGNC:PIGR)	directlyIncreases	act(p(FPLX:SMAD))
bb2af6e1-2390-4ff6-bbeb-016799e7fe29	1.0	3864898	Transport of secretory IgA into external fluids is mediated by the polymeric immunoglobulin receptor (pIgR) on the surface of mucosal epithelial cells.	p(HGNC:PIGR)	directlyIncreases	act(bp(GO:"GO:0006810"))
670e860b-4fcf-4c13-8dea-b55ab7b3fdef	1.0	22025622	Expression of the polymeric immunoglobulin receptor (pIgR), a transporter of polymeric IgA and IgM, is commonly increased in response to viral or bacterial infections, linking innate and adaptive immunity.	p(HGNC:PIGR)	directlyIncreases	act(bp(GO:"GO:0002250"))
7af5833e-ea6c-44ae-9597-ce808427eed8	1.0	21965228	Our studies showed no evidence for cell cycle arrest or ER stress induced by pIgR overexpression.	p(HGNC:PIGR)	directlyIncreases	act(bp(GO:"GO:0007049"))
a984d1db-1b57-419b-a0bf-b50904a50bcc	1.0	21965228	Future investigations are required to determine the mechanisms by which pIgR contributes to cell proliferation.	p(HGNC:PIGR)	directlyIncreases	act(bp(GO:"GO:0008283"))
f5cc7d19-94fc-40a4-bd29-379b5a0cf719	1.0	22022593	Specifically for the pIgR it has been suggested that upon binding, dIgA induces pIgR dimerization and this feature enhances pIgR endocytosis XREF_BIBR.	p(HGNC:PIGR)	directlyIncreases	act(bp(GO:"GO:0006897"))
42568f55-b5ef-43b1-9609-d515cb57409b	1.0	22022593	Per day the human pIgR mediates the excretion of 2 to 5 grams of dIgA into the mucosa of luminal organs.	p(HGNC:PIGR)	directlyIncreases	act(p(UP:P0ABR5))
5384ed87-8c91-4ced-a055-8c1f0557d44f	1.0	14660617	Ectodomains 3 and 4 of human polymeric Immunoglobulin receptor (hpIgR) mediate invasion of Streptococcus pneumoniae into the epithelium.	p(HGNC:PIGR)	directlyIncreases	act(bp(MESH:D009361))
36a0c3f5-569d-42dd-9d94-a1f2bb7d03ef	1.0	2121367	Deletion of the cytoplasmic domain of the polymeric immunoglobulin receptor prevents basolateral localization and endocytosis.	p(HGNC:PIGR)	directlyIncreases	act(bp(GO:"GO:0051179"))
688c15d6-475a-409a-9fbf-99d82974a50f	1.0	22025622	In this study, we demonstrated that pIgR is a signaling mediator of HBV related hepatitis and HCC metastasis.	p(HGNC:PIGR)	directlyIncreases	act(bp(MESH:D009362))
