INDRA UUID	Confidence	PMID	Evidence	Subject	Predicate	Object
ec8e3d2f-fc13-4905-8826-cdf12055cbcb	1.0	25761116	Prior studies demonstrated that Abeta induced activation of cPLA 2 in synaptosomes involved its translocation to lipid rafts [XREF_BIBR].	p(HGNC:APP)	directlyIncreases	act(p(HGNC:PLA2G4A))
9c143535-bd0d-405c-b34f-0a88c29db2c7	1.0	23533611	Without PIP 2 in the cardiolipin assay, GIVA cPLA 2 showed an activity of 1.4 micromol/min/mg, consistent with the activation of cPLA 2 by PIP 2, though less so than with PAPC as substrate, suggesting perhaps that PIP 2 may have less impact on the negatively charged surface of cardiolipin.	a(CHEBI:28765)	directlyIncreases	act(p(HGNC:PLA2G4A))
68b9c24a-f44f-4d8c-a981-23e85a92470a	1.0	27528014	CSC enhanced cPLA 2 activity.	bp(MESH:D014411)	directlyIncreases	act(p(HGNC:PLA2G4A))
be96cbcd-2b11-4767-98a3-b14dac190cc7	1.0	22276108	Moreover, Ca 2+ activates cPLA 2 that subsequently releases arachidonic acid XREF_BIBR.	a(CHEBI:29108)	directlyIncreases	act(p(HGNC:PLA2G4A))
57a39dd9-6602-41e3-b6fd-e621616d600e	1.0	24721622	These results show that EGF activates cPLA 2, that cPLA 2 is involved in the production of PAF and that bidirectional crosstalk can occur between the EGF and the PAF receptors.	p(HGNC:EGF)	directlyIncreases	act(p(HGNC:PLA2G4A))
2420e049-72ba-4311-abea-4171ff4ea2a4	1.0	24721622	In rat articular chondrocytes, the phosphorylation of ERK and p38 MAPKs activated cPLA 2 and increased PGE2 production, which is another type of lipid mediator, similar to PAF [XREF_BIBR].	p(FPLX:ERK)	directlyIncreases	act(p(HGNC:PLA2G4A))
bbcbc60e-1ce6-4f3c-a97b-4adb44f185a1	1.0	21127289	Importantly, neither 1-butanol nor propranolol inhibits PAR1 induced activation of the cPLA 2 coupled to 12-LOX, thus providing additional evidence that this signaling pathway differs from that leading to activation of the cPLA 2 coupled to COX-1.	p(HGNC:F2R)	directlyIncreases	act(p(HGNC:PLA2G4A))
b39580d9-0421-4237-b3aa-9d213479fc76	1.0	22003202	IFN-gamma triggered autophagy involves activation of cPLA 2.	p(HGNC:IFNG)	directlyIncreases	act(p(HGNC:PLA2G4A))
0aca7cf2-0605-41e9-b8ff-af7a8a8b377a	1.0	19237603	We first determined whether IL-15 could activate cPLA 2.	p(HGNC:IL15)	directlyIncreases	act(p(HGNC:PLA2G4A))
e9d04d61-3a32-4cd6-8dcc-c0e7da9fbcbf	1.0	24616552	It has been shown that cPLA 2 is upregulated by IL-1beta in human rheumatoid arthritis synovial fibroblasts (RASFs) [XREF_BIBR].	p(HGNC:IL1B)	directlyIncreases	act(p(HGNC:PLA2G4A))
fec4d628-e1fe-4014-a8a1-47b7bd178bff	1.0	19237603	Future studies will determine whether, more generally, ITAM signaling receptors mobilizing high levels of calcium mediate granule exocytosis independently of cPLA 2.	p(PFAM:PF02189)	directlyIncreases	act(p(HGNC:PLA2G4A))
5895c89f-621e-4fd7-8b28-af47ff4ea107	1.0	19237603	To further assess the ability of NKG2D to activate cPLA 2, we studied perinuclear translocation of cPLA 2 and cPLA 2 activity in IE- and PB-CTLs.	p(HGNC:KLRK1)	directlyIncreases	act(p(HGNC:PLA2G4A))
0e459645-ad9d-413d-aa62-6a2e65d6da5b	1.0	25247183	LPS can modulate activity of cPLA 2 by phosphorylation [XREF_BIBR].	a(CHEBI:16412)	directlyIncreases	act(p(HGNC:PLA2G4A))
2542ea37-8a61-4363-b571-fc584a0ec594	1.0	8910365	These results provide the first direct evidence that p38 kinase is responsible for cpla2 phosphorylation in sfllrn-stimulated platelets and is involved in the early phosphorylation of cpla2 in thrombin-stimulated platelets	p(HGNC:MAPK14)	directlyIncreases	act(p(HGNC:PLA2G4A))
d75a7a6a-f277-4eb0-b709-abddb624a567	1.0	8381049	Activated map kinase phosphorylates cpla2 at ser-505, causing increased enzymatic activity of cpla2, which is only realized upon translocation of cpla2 to the membrane.	p(HGNC:MAPK3)	directlyIncreases	act(p(HGNC:PLA2G4A))
