INDRA UUID	Confidence	PMID	Evidence	Subject	Predicate	Object
2ea4347b-1b6e-4c8b-a32f-24afd03fa76c	1.0	5642108	Human apo A-I transgenesis in C57BL/6 mice resulted in a 4.2-fold (P < 0.0001) increase of PAF-AH and a 1.7-fold (P = 0.0012) increase of PON1 activity.	p(HGNC:APOA1)	directlyIncreases	act(p(HGNC:PLA2G7))
27ebcd56-72c2-41dc-8607-b525d6798fb8	1.0	4319782	Postnatal administration of DEX increases the plasma PAF-AH activity in the rat.	p(UP:P48845)	directlyIncreases	act(p(HGNC:PLA2G7))
898ba2e1-450c-41e2-b0ab-97a642d7dd05	1.0	3900224	Dexamethasone and medroxyprogesterone markedly increased the secretion of PAF-AH by these cells, while estrogen was without effect.	a(PUBCHEM:5743)	directlyIncreases	act(p(HGNC:PLA2G7))
65b3037c-7d66-4978-9812-7b5dbcdba2f3	1.0	21432021	Determination of essential MAPK signaling pathways for LPS stimulated up-regulation of PAF-AH.	p(FPLX:ERK)	directlyIncreases	act(p(HGNC:PLA2G7))
2fdd51e7-c1d1-48da-85db-2dc76643199c	1.0	PMC4064942	Injection of inflammatory mediators (bradykinin or zymosan-activated plasma) with or without prostaglandin E2 produced a similar amount of edema as did CH.	p(HGNC:FCN3)	directlyIncreases	act(p(HGNC:PLA2G7))
59529f00-b7ef-4a67-8b7f-7eeb4aec7065	1.0	18155631	However, the role of PAF within the cytoplasm is still not well defined.The PAF signal is modulated by platelet activating factor acetylhydrolases (paf-ah) that terminate the PAF signal by hydrolyzing the acyl group in the Sn2 position from the glycerol backbone.	p(UP:Q15004)	directlyIncreases	act(p(HGNC:PLA2G7))
1d8d6d98-f1d1-461c-810d-17026313c5cc	1.0	21432021	To ascertain the temporal pattern of the LPS induced PAF-AH up-regulation, MM6 cells were cultured either in the presence of LPS (200 ng/ml) or vehicle control over a 72-h period in serum containing RPMI media.	a(CHEBI:16412)	directlyIncreases	act(p(HGNC:PLA2G7))
f9c01915-75ed-497d-8750-b5a27a057645	1.0	4856210	Isolated lissencephaly sequence and Miller-Dieker syndrome are related neurodevelopmental disorders caused by defects of the LIS1 gene encoding the alpha subunit of intracellular platelet activating factor acetylhydrolase.	p(HGNC:PAFAH1B1)	directlyIncreases	act(p(HGNC:PLA2G7))
0157213f-3385-4ab5-b79e-1da40cf3ea4f	1.0	21432021	LPS and PAF likely function independently to promote the up-regulation of PAF-AH, as the increase in PAF-AH expression was approximately additive in response to both LPS and PAF administration.	p(HGNC:PCLAF)	directlyIncreases	act(p(HGNC:PLA2G7))
ef1fedb5-7aac-4c98-b073-8bd6ef84912f	1.0	23361301	Deletion of Pla2g7 decreases small intestinal polyp and colon tumor incidence in Apc Min/+ mice.	p(HGNC:PLA2G7)	directlyIncreases	act(p(HGNC:APC))
4d1ac4c0-819e-4d78-a6f8-58d259e61d33	1.0	5869956	We conclude that alterations in the relative levels of paraoxonase, platelet activating factor acetylhydrolase, ceruloplasmin, and apoJ in HDL occur during acute influenza infection, causing HDL to lose its anti-inflammatory properties.	p(HGNC:PLA2G7)	directlyIncreases	act(p(FPLX:HDL))
a185a602-1b92-4374-b132-67b90103191d	1.0	16027700	Lack of PAF-AH catalytic activity may allow PAF and oxidized phospholipids to recruit, which in turn activates the production of IL-1, IL-6, TNF-alpha, and other inflammatory mediators.	p(HGNC:PLA2G7)	directlyIncreases	act(p(HGNC:PCLAF))
7907647c-b7ac-424b-b589-9c63cceb8e39	1.0	5634307	Adenoviral gene transfer of human PAF-acetylhydrolase (PAF-AH) in apoE-/- mice increased PAF-AH activity 1.5-fold (P < 0.001), reduced betaVLDL induced ex vivo macrophage adhesion 3.5-fold (P < 0.01), and reduced in vivo macrophage homing 2.6-fold (P < 0.02).	p(HGNC:PLA2G7)	directlyIncreases	act(p(HGNC:PLA2G7))
7907647c-b7ac-424b-b589-9c63cceb8e39	1.0	5634307	Adenoviral gene transfer of human PAF-acetylhydrolase (PAF-AH) in apoE-/- mice increased PAF-AH activity 1.5-fold (P < 0.001), reduced betaVLDL induced ex vivo macrophage adhesion 3.5-fold (P < 0.01), and reduced in vivo macrophage homing 2.6-fold (P < 0.02).	p(HGNC:PLA2G7)	directlyIncreases	act(p(HGNC:PLA2G7))
c915d8b6-bf34-46e3-8ea3-987966df230c	1.0	22202492	PLA2G7 silencing reduces cell adhesion and motility.	p(HGNC:PLA2G7)	directlyIncreases	act(bp(GO:"GO:0007155"))
a83794f6-81df-4370-9da4-90818360ad3a	1.0	22202492	Phospholipase PLA2G7, associated with aggressive prostate cancer, promotes prostate cancer cell migration and invasion and is inhibited by statins.	p(HGNC:PLA2G7)	directlyIncreases	act(bp(GO:"GO:0016477"))
4dedab80-e41e-4a92-a98b-af8e95c19646	1.0	10748027	The abundance of PAF acetylhydrolase production in the liver lobule likely limits endotoxin mediated tissue damage due to PAF synthesis.	p(HGNC:PLA2G7)	directlyIncreases	act(a(PUBCHEM:53481793))
0c96e3b8-36aa-43f8-aceb-0d902f86e9fa	1.0	22202492	Phospholipase PLA2G7, associated with aggressive prostate cancer, promotes prostate cancer cell migration and invasion and is inhibited by statins.	p(HGNC:PLA2G7)	directlyIncreases	act(bp(MESH:D009361))
55119b03-c387-4e66-81de-254d4061510b	1.0	3585683	PAF acetylhydrolase (EC 3.1.1.47), purified from human plasma, also catalyzed the transfer of acetate from PAF to lysophosphatidylcholine.	p(HGNC:PLA2G7)	directlyIncreases	act(a(PUBCHEM:24779491))
6aec5625-9d4b-4227-8475-6ae593f49446	1.0	22202492	Taken together, these results support the association of PLA2G7 expression with aggressive disease and suggest that PLA2G7 promotes tumorigenesis and metastasis via inducing ALDH activity.	p(HGNC:PLA2G7)	directlyIncreases	act(bp(MESH:D009362))
7e63562b-3fa0-4c06-9121-9e42049bcaa9	1.0	21146954	PLA2G7 catalyzes platelet activating factor (PAF) and inactivates its inflammatory function.	p(HGNC:PLA2G7)	directlyIncreases	act(a(PUBCHEM:108156))
72127952-cc0c-41ea-97bd-e54c6fbb7bc3	1.0	23361301	In addition, Apc Min/+ / Pla2g7 -/- mice expressed PCNA positive epithelial cells primarily in the base region of the crypt, suggesting that deletion of Pla2g7 decreases epithelial cell proliferation along the villus axis.	p(HGNC:PLA2G7)	directlyIncreases	act(bp(GO:"GO:0008283"))
e6d74809-e879-4356-8f75-eae4911238df	1.0	20547212	The proteins directly or indirectly involved in signal transduction displayed PrP induced up-regulation in SH-SY5Y cells : 14-3-3 gamma (1433G), growth factor receptor bound protein 2 (GRB2), Rho GTP-ase activating protein 1 (RHG01) and platelet activating factor acetylhydrolase IB subunit gamma (PA1B3).	p(HGNC:RHOA)	directlyIncreases	act(p(HGNC:PLA2G7))
c8b52c1c-9c34-4bda-bb53-ec54954eef9d	1.0	5182600	Both tumor necrosis factor and interleukin-1 modestly increased plasma PAF-AH activity and mRNA levels in liver and spleen, suggesting that they may partly mediate the effect of LPS on PAF-AH.	p(FPLX:TNF)	directlyIncreases	act(p(HGNC:PLA2G7))
f58e6e7a-707e-4dcf-a015-4717c889e22d	1.0	24733846	Binding of reelin to VLDLR on macrophages also induced expression of the Pla2g7 gene and promoted production of platelet activating factor acetylhydrolase (PAFAH), which increased PAFAH secretion into mother 's milk and suppressed systemic inflammation in nursing newborns (XREF_BIBR).	complex(p(HGNC:RELN), p(HGNC:VLDLR))	directlyIncreases	act(p(HGNC:PLA2G7))
4272b623-7837-4cf4-aec7-24171ba2bf4b	1.0	17459165	These groups include four main families of PLA2s, the low molecular weight secretory PLA2s, the cytosolic PLA2G4s, the calcium independent PLA2G6s and the platelet activating factor (PAF) acid hydrolases (PLA2G7 and PLA2G8).	a(CHEBI:29108)	directlyIncreases	act(p(HGNC:PLA2G7))
c6e9e9d6-830e-448a-a51f-2346e4556f44	1.0	4319782	A higher dose of DEX (1.3 mg/kg/d x 4d) or cortisone (200 mg/kg/d) produced an elevation of maternal plasma PAF-AH activity (DEX 79.2 +/-3.0, cortisone 70.5 +/-1.9 vs. controls 49.4 +/-2.3 nmol/min/ml, P < 0.01), but resulted in a high fetal mortality.	a(PUBCHEM:222786)	directlyIncreases	act(p(HGNC:PLA2G7))
47993290-5af8-4f03-ac56-cbdbbba65e5b	1.0	3526817	Mouse plasma PAF-AH is highly sensitive to 5,5 '-dithiobis-2-nitrobenzoic acid (DTNB) and is activated by deoxycholate.	a(PUBCHEM:222528)	directlyIncreases	act(p(HGNC:PLA2G7))
af1370d0-948b-45fe-8e9b-3180de617a9d	1.0	3778362	Plasma PAF-AH activity was increased significantly by the administration of dexamethasone (P < 0.001) or medroxyprogesterone (P < 0.001), and decreased by 17 alpha-ethynylestradiol (P < 0.001), as previously described.	a(CHEBI:41879)	directlyIncreases	act(p(HGNC:PLA2G7))
7ca2514a-0a32-43cf-8989-aed1db60ed97	1.0	3615695	When PAF was administered to female adult rats pretreated with sex steroid hormones, the mortality of the rats with low plasma PAF-AH activity caused by estrogen was increased, but decreased in the animals with high enzyme activity caused by progestin.	a(CHEBI:50114)	directlyIncreases	act(p(HGNC:PLA2G7))
262f5a37-3706-4e50-8895-be414a48312d	1.0	5182600	Both tumor necrosis factor and interleukin-1 modestly increased plasma PAF-AH activity and mRNA levels in liver and spleen, suggesting that they may partly mediate the effect of LPS on PAF-AH.	p(IP:IPR000975)	directlyIncreases	act(p(HGNC:PLA2G7))
edc4886b-999e-4a75-a41e-136f57b17309	1.0	PMC3834337	Our results indicate that the increased vascular permeability induced by fraction XIII is due to local generation of kinins in response to tissue (but not plasma) kallikrein-kinin system activation.	p(PFAM:PF08260)	directlyIncreases	act(p(HGNC:PLA2G7))
cdb83a16-7a63-4778-82fc-1d7d88f79a42	1.0	3778362	Plasma PAF-AH activity was increased significantly by the administration of dexamethasone (P < 0.001) or medroxyprogesterone (P < 0.001), and decreased by 17 alpha-ethynylestradiol (P < 0.001), as previously described.	a(PUBCHEM:10631)	directlyIncreases	act(p(HGNC:PLA2G7))
99b9efd5-8226-4629-a666-27d063943de8	1.0	3270946	Both medroxyprogesterone and megestrol acetate (50mg/kg, 3 days) significantly increased plasma PAF-AH activity, but both norethindrone acetate and norethynodrel (50mg/kg, 3 days) significantly decreased the enzyme activity.	a(PUBCHEM:200136)	directlyIncreases	act(p(HGNC:PLA2G7))
5eafb9a0-b48d-4785-9588-6170a0951005	1.0	15215249	The p38 MAPK pathway mediates transcriptional activation of the plasma platelet activating factor acetylhydrolase gene in macrophages stimulated with lipopolysaccharide.	p(FPLX:p38)	directlyIncreases	act(p(HGNC:PLA2G7))
696d59df-b4ac-487b-b161-a2e7b2a1324e	1.0	18155631	However, the role of PAF within the cytoplasm is still not well defined.The PAF signal is modulated by platelet activating factor acetylhydrolases (paf-ah) that terminate the PAF signal by hydrolyzing the acyl group in the Sn2 position from the glycerol backbone.	a(PUBCHEM:108156)	directlyIncreases	act(p(HGNC:PLA2G7))
71791f0d-a047-4c6c-ad47-1c3576afd231	1.0	4166432	Estrogen decreased the PAF-AH activity up to 85%, and progesterone increased PAF-AH activity up to 44% in ovariectomized rats.	a(CHEBI:17026)	directlyIncreases	act(p(HGNC:PLA2G7))
