INDRA UUID	Confidence	PMID	Evidence	Subject	Predicate	Object
a05fc13d-d794-4c8e-be9d-8a74741890e9	1.0	24395886	To determine whether inhibition COX-2 impacts the proliferation of TSC2 deficient cells, we treated 621-101 cells with Sulindac (a COX-1 inhibitor), NS398 (a COX-2 inhibitor), or aspirin (an irreversible COX-1 and COX-2 inhibitor that works by blocking enzymatic activities, and also acetylates COX-2, resulting in production of 15-epi-LXA 4, an antiinflammatory and antitumor compound) for 24 h. NS398 and aspirin reduced COX-2 and COX-1 levels without affecting phosphorylation of p44/42-MAPK or S6 (XREF_FIG).	p(HGNC:PTGS1)	directlyIncreases	p(HGNC:PTGS2, pmod(Ac))
5722c467-22e5-4822-b1f6-edbe5127a8d9	1.0	25281773	This observation is somewhat reminiscent of the inability of aspirin acetylated mammalian PGHS-1 (at residue 530) to produce the minor product 15R-HETE and the associated role of Val349 in the control of stereochemistry at the position 15 of substrate.	a(PUBCHEM:2244)	directlyIncreases	p(HGNC:PTGS1, pmod(Ac, 530))
af9de34b-f12f-4091-b81c-16372fd71201	1.0	24930730	By irreversibly acetylating and deactivating cyclooxygenase-1 (COX-1), aspirin reduces thromboxane A2 (TXA2) production, and thereby inhibits platelet aggregation.	a(PUBCHEM:2244)	directlyIncreases	p(HGNC:PTGS1, pmod(Ac))
aee4eeb6-77e1-41c4-9f74-3f621c0104fa	1.0	5507015	Forskolin, a known activator of adenylate cyclase, and dibutryl-cAMP, a cAMP analog, induced COX-1 and COX-2 mRNA, suggesting that cAMP is a second messenger for COX expression.	p(FPLX:ADCY)	directlyIncreases	act(p(HGNC:PTGS1))
3a046245-4647-4c9d-a0b1-f286894a165d	1.0	15190260	COX-1 mRNA and protein were induced by ATRA.	a(CHEBI:15367)	directlyIncreases	act(p(HGNC:PTGS1))
fe356df8-159e-4920-ac9b-427af2bb5418	1.0	26859324	Aspirin and other nonsteroidal anti-inflammatory drugs target the cyclooxygenase enzymes (COX-1 and COX-2) to block the formation of prostaglandins.	a(PUBCHEM:2244)	directlyIncreases	act(p(HGNC:PTGS1))
8dd70d00-5129-42c1-bc91-7a33cdacd13b	1.0	24930730	The CC genotype may up-regulate COX-1 RNA and protein expression, and consequently, increase TXA2 production and enhance platelet aggregation.	p(PFAM:PF04942)	directlyIncreases	act(p(HGNC:PTGS1))
e083e3fa-aca0-4f16-a37f-2c2f0ab79b2e	1.0	18093816	CD40L stimulated VEGF production was COX-2 but not COX-1 dependent.	p(HGNC:CD40LG)	directlyIncreases	act(p(HGNC:PTGS1))
3d30ac60-3610-41b6-9ec3-3752cb6d35a3	1.0	26321642	The association of newly synthesized COX1 with TIM21 and MITRAC12 (C and 3D) remained unaltered, demonstrating that the interactions of TIM21 and MITRAC12 with newly synthesized COX1 occur independent of MITRAC7.Based on this observation and the migration of MITRAC7 in a large MITRAC-complex, we hypothesized that MITRAC7 acts at a later stage of COX1 assembly rather than at the step of TIM21 dependent insertion of nuclear encoded subunits.	p(HGNC:COA3)	directlyIncreases	act(p(HGNC:PTGS1))
3b1a79b2-8150-4605-a7e7-55dcc44b2bc7	1.0	22276108	Arachidonic acid is then converted to prostaglandin H 2 (PGH 2) in a two-step reaction catalysed by either of the two COX isoforms, the constitutively active COX-1 or the inducible COX-2.	p(FPLX:COX)	directlyIncreases	act(p(HGNC:PTGS1))
9b8cb348-1088-466e-ac4c-dd05f8edccd1	1.0	7028041	CT elevated tissue levels of oxidized glutathione and lipid peroxides and elicited small intestinal tissue injury in two of five cox-1 (-/-) and four of five cox-2 (-/-) mice.	a(PUBCHEM:91498)	directlyIncreases	act(p(HGNC:PTGS1))
a2b4e8cb-e1b8-4a0f-adce-e8b7a086a51e	1.0	6568520	Moreover, TNFalpha, which also stimulates aromatase expression in breast adipose stromal cells, acts to increase the secretion of PGE2 by these cells, as well as the expression of COX 2 and PGE synthase, but not that of COX 1.	p(HGNC:CYP19A1)	directlyIncreases	act(p(HGNC:PTGS1))
c1d62575-f5af-4351-b6cd-f3c0f19da3d2	1.0	5897601	Cd at 1 microM and above markedly stimulated COX-2 mRNA expression and slightly increased the level of COX-1 mRNA.	a(CHEBI:22977)	directlyIncreases	act(p(HGNC:PTGS1))
ce05018e-5f46-4c1f-af9f-c3eb3cd45055	1.0	5848532	Dexamethasone only slightly augmented cyclooxygenase-1-promoter activity but increased cyclooxygenase-1 mRNA stability.	a(PUBCHEM:5743)	directlyIncreases	act(p(HGNC:PTGS1))
2eeffb04-2e0a-470e-89c5-11ac57edb1bb	1.0	15705965	Estradiol (E2) caused activation of the COX-1 promoter with maximal stimulation at 10 (-8) mol/L E2, and the response was mediated by either ERalpha or ERbeta.	p(UP:P27958)	directlyIncreases	act(p(HGNC:PTGS1))
be22978f-1243-4bf3-ac22-82dc0120a476	1.0	20452970	The potential long term role of COX-1 induced by ET-1 beyond the 8-h period remains to be studied.	p(HGNC:EDN1)	directlyIncreases	act(p(HGNC:PTGS1))
397a2565-0288-471f-b4d1-acabb33f96bd	1.0	6528340	The PAR-1-induced chloride secretory response was significantly attenuated by inhibitors of the EGF receptor tyrosine kinase, Src-kinase, MEK1/2, as well as by inhibitors of cytosolic phospholipase (cPL) A2, COX-1 and COX-2.	p(HGNC:EGFR)	directlyIncreases	act(p(HGNC:PTGS1))
691a578d-75dc-41eb-ad1f-44501a658e3a	1.0	4487359	Interstitial cell COX2 mRNA but not COX1 was induced by phorbol ester and epidermal growth factor but suppressed by dexamethasone.	p(HGNC:EGF)	directlyIncreases	act(p(HGNC:PTGS1))
2bf6dee7-b5a2-438f-b4d6-6a6ecea29d47	1.0	19433337	The tyrosyl radical EPR signals of PGHS-1 and -2 changes over time and are altered by cyclooxygenase inhibitor binding.	p(HGNC:EREG)	directlyIncreases	act(p(HGNC:PTGS1))
0abace17-c213-4826-910f-ef9a589de99b	1.0	23258543	In COS-1 cells that overexpress iPLA (2) gamma and cyclooxygenase-1, PGE (2) production was induced by co-expression of constitutively active MEK1 or MAPK interacting kinase 1 (MNK1) as well as by stimulation with epidermal growth factor (EGF) + ionomycin.	p(FPLX:ERK)	directlyIncreases	act(p(HGNC:PTGS1))
286bcc75-9d92-4ce6-8df2-ae5ac7344f7b	1.0	22330859	This effect was mediated by ERalpha dependent up-regulation of COX-1 and PGI synthase, but not COX-2, at 24h of incubation.	p(HGNC:ESR1)	directlyIncreases	act(p(HGNC:PTGS1))
3be559b7-546e-4823-955d-e695f962e531	1.0	21832119	ESR2 knockdown led to decreased cyclooxygenase-1 (PTGS1), PTGS2, prostaglandin F synthase (AKR1C3), and increased prostacyclin synthase (PTGIS), with opposing results found after ESR2 overexpression (P < 0.05).	p(HGNC:ESR2)	directlyIncreases	act(p(HGNC:PTGS1))
e4004cea-26a1-4b2c-b71c-9e0007c8927e	1.0	15705965	Estradiol (E2) caused activation of the COX-1 promoter with maximal stimulation at 10 (-8) mol/L E2, and the response was mediated by either ERalpha or ERbeta.	a(PUBCHEM:5757)	directlyIncreases	act(p(HGNC:PTGS1))
862cf7fb-b54a-44c8-b36f-277ac0bd1cea	1.0	15705965	Estrogen upregulates cyclooxygenase-1 (COX-1) expression in endothelial cells.	a(PUBCHEM:5991)	directlyIncreases	act(p(HGNC:PTGS1))
