INDRA UUID	Confidence	PMID	Evidence	Subject	Predicate	Object
d5fe32ff-3ddf-4bd6-9b38-3b7e041703f5	1.0	21792905	For example, GLT1 can be induced in astroglial cultures by the pituitary adenylate cyclase activating peptide (PACAP), a neuron derived peptide (XREF_BIBR).	p(FPLX:ADCY)	directlyIncreases	act(p(HGNC:SLC1A2))
988eee37-49ae-46a9-92a1-b9a109d0f44a	1.0	25064045	PI3K and Akt is also positively modulating transcriptional regulation of EAAT2 [XREF_BIBR, XREF_BIBR].	p(FPLX:AKT)	directlyIncreases	act(p(HGNC:SLC1A2))
1608adcb-d027-4f8b-8c80-4417aa230824	1.0	20193040	We further investigated whether amyloid beta peptide (Abeta) could cause EAAT2 dissociated from lipid raft microdomains.	p(HGNC:APP)	directlyIncreases	act(p(HGNC:SLC1A2))
ca260d8a-5c19-4bfd-924d-b51d256721cd	1.0	5116900	The antioxidant Mn (III) TBAP rescued GLT1 from inhibition.	p(HGNC:CA9)	directlyIncreases	act(p(HGNC:SLC1A2))
961ccaa5-f9ee-4048-b848-055d08e1fd28	1.0	21792905	On the other hand, NF-kappaB mediates EGF-, TGF-alpha- and cAMP induced EAAT2 promoter activation (XREF_BIBR; XREF_BIBR).	a(CHEBI:17489)	directlyIncreases	act(p(HGNC:SLC1A2))
a3a58e44-9450-46fe-8b98-d44657a63ceb	1.0	24966471	In this sense, caspase-3 mediated cleavage of GLT-1 results in the inhibition of its activity [XREF_BIBR].	p(HGNC:CASP3)	directlyIncreases	act(p(HGNC:SLC1A2))
775275d9-e755-4498-a31c-884096294d36	1.0	20193040	We determined that increased expression of CYP46 in primary astrocytes causes the reduction of membrane cholesterol levels and leads to EAAT2 dissociated from lipid rafts, which results in loss of EAAT2 protein and associated glutamate uptake function.	p(HGNC:CYP46A1)	directlyIncreases	act(p(HGNC:SLC1A2))
c796f241-de81-419e-b873-8986a462b01a	1.0	20193040	We tested whether up-regulation of CYP46 could cause dissociation of EAAT2 from lipid raft microdomains.	p(HGNC:CYP46A1)	directlyIncreases	act(p(HGNC:SLC1A2))
f42eb736-f7de-44c1-9ecf-d0759ae1306f	1.0	20685225	Notably, although GLT-1 and GLAST similarly respond to ErbB1 ligands with increased expression and activity, distinct regulatory mechanisms underlie this effect : the EGF induced GLT-1 up-regulation involves the PI3K/Akt/NF-kappaB signaling, while PKC and MAPK and ERK signaling pathways are not required in this process ().	p(HGNC:EGF)	directlyIncreases	act(p(HGNC:SLC1A2))
3d1defcb-1a48-4b73-a3a4-10936f5a4865	1.0	12957496	The FGF-2 and PD98059-dependent increase in GLT-1 protein was associated with an increase in GLT-1 transcript levels ().	p(HGNC:FGF2)	directlyIncreases	act(p(HGNC:SLC1A2))
642b8397-d0eb-4748-83e6-13c0bf9ff812	1.0	12786977	Pharmacological inhibition of mitogen activated protein kinase and phosphatidylinositol-3-K pathways reduces the induction of GLT-1 observed in response to the group II metabotropic glutamate receptor agonist (2S,2 ' R,3 ' R)-2-(2 ',3 '-dicarboxycyclopropyl) glycine.	p(FPLX:MAPK)	directlyIncreases	act(p(HGNC:SLC1A2))
f6ee0fe6-3f95-4a8f-8163-ef5cc4bec972	1.0	25064045	In addition, a role for YY1 in the negative regulation of EAAT2 has been implicated given its ability to serve as a co-repressor of astrocyte elevated gene-1 (AEG-1) to repress EAAT2 at the transcriptional level, resulting in reduced glutamate uptake in astrocytes [XREF_BIBR].	p(HGNC:MTDH)	directlyIncreases	act(p(HGNC:SLC1A2))
eac4604e-3c55-41f9-88b8-63808c083076	1.0	15660126	Our results suggest that NF-kappaB can intrinsically activate EAAT2 and that TNFalpha mediates repression through a distinct pathway also requiring NF-kappaB.	p(FPLX:NFkappaB)	directlyIncreases	act(p(HGNC:SLC1A2))
45aefa9f-f940-4d2e-9788-fb16b2ece2a6	1.0	18838545	Thus, binding of NMO-IgG to astrocytic AQP4 initiates several potentially neuropathogenic mechanisms : complement activation, AQP4 and EAAT2 down-regulation, and disruption of glutamate homeostasis.	complex(p(HGNC:AQP4))	directlyIncreases	act(p(HGNC:SLC1A2))
15d7dc1e-ae4a-4ee9-9409-8cd816793047	1.0	7083154	PBN significantly attenuated the decrease of 70 kDa GLT-1 in the lesioned animals and attenuated the alterations in amino acid levels but not to a significant level.	a(PUBCHEM:5352425)	directlyIncreases	act(p(HGNC:SLC1A2))
53319303-d987-403e-9de7-29dd774db302	1.0	25081482	To test this hypothesis, human astrocytes were individually exposed to four other toxins, doxorubicin, taxol, staurosporin and cytochalasin D. RNA was prepared from cells exhibiting clear evidence of toxicity and analyzed by PCR as a means of testing for the patterns of aberrant EAAT2 pre-mRNA splicing commonly observed in astrocytes treated with the PR 20 peptide, and brain samples derived from patients suffering the GGGGCC repeat expansion in the C9ORF72 gene.	p(HGNC:PGR)	directlyIncreases	act(p(HGNC:SLC1A2))
24f7d893-ea41-4960-afa3-758f239d7aeb	1.0	25064045	PI3K and Akt is also positively modulating transcriptional regulation of EAAT2 [XREF_BIBR, XREF_BIBR].	p(FPLX:PI3K)	directlyIncreases	act(p(HGNC:SLC1A2))
1eb199f2-f50b-44ea-a6e4-ac11a98a4a75	1.0	19910676	Confocal microscopy reveals that PIKfyve enhances the EAAT2 protein abundance in the cell membrane.	p(HGNC:PIKFYVE)	directlyIncreases	act(p(HGNC:SLC1A2))
88760d0f-48ad-40cb-886c-bd3ded22f83f	1.0	4677096	Three different protein kinase A (PKA) antagonists did not block the effect of neurons on glial expression of GLT-1 protein, but the addition of dbcAMP to mixed cultures of neurons and astrocytes did not cause GLT-1 protein to increase further.	p(FPLX:PKA)	directlyIncreases	act(p(HGNC:SLC1A2))
7b8de8b7-1f59-4cbc-af81-e6ef1af65ba1	1.0	5143608	Although recent studies using HeLa cells have suggested that GLT-1 can be rapidly up-regulated by activation of protein kinase C (PKC), modulation of PKC or phosphatase activity had no effect on GLT-1-mediated activity in these transfected cell lines.	p(FPLX:PKC)	directlyIncreases	act(p(HGNC:SLC1A2))
236f3ccf-97c0-4ef5-a36e-a948e33e6192	1.0	26046374	The peroxisome proliferator activated receptor gamma agonist pioglitazone increases functional expression of the glutamate transporter excitatory amino acid transporter 2 (EAAT2) in human glioblastoma cells.	p(HGNC:PPARG)	directlyIncreases	act(p(HGNC:SLC1A2))
21e0fa85-7e49-41e6-9345-b96da41695fd	1.0	26046374	[XREF_BIBR] Pioglitazone induced EAAT2 upregulation may play a role in reducing glioma cell viability via multiple mechanisms, particularly through the activation of caspase-3, which has been shown in both overexpression studies and cellular apoptosis assays.	a(PUBCHEM:4829)	directlyIncreases	act(p(HGNC:SLC1A2))
5e21f2c8-0b8b-441b-8216-7b8c2176edc3	1.0	15660126	Furthermore, TNFalpha can abrogate IKKbeta- and p65 mediated activation of EAAT2.	p(HGNC:RELA)	directlyIncreases	act(p(HGNC:SLC1A2))
b77f8954-4f71-4d51-9223-1f9a010e03b6	1.0	24753081	Transfection of the desumoylating enzyme, Senp1, promoted a redistribution of the EAAT2 pool, with much less intracellular EAAT2 aggregates and more EAAT2 localized at the plasma membrane (XREF_FIG), suggesting that desumoylation of the intracellular pool of EAAT2 was required to allow partition of the transporter to the cell surface.	p(HGNC:SENP1)	directlyIncreases	act(p(HGNC:SLC1A2))
2d765543-e200-44dc-bbc9-56e85a0025cd	1.0	19910676	EAAT2 dependent currrent is stimulated by the serum and glucocorticoid inducible kinase SGK1.	p(HGNC:SGK1)	directlyIncreases	act(p(HGNC:SLC1A2))
c15ce829-b845-4325-b3a6-fb3f15580aef	1.0	18838545	We hypothesized that compromise of EAAT2 function through IgG induced loss of AQP4 in NMO lesions might increase the extracellular concentration of glutamate in AQP4 rich regions critical to oligodendroglial and neuronal viability at nodes of Ranvier and perisynaptic regions (XREF_BIBR).	p(HGNC:SLC1A2)	directlyIncreases	act(p(HGNC:AQP4))
7d85e3bd-20b8-4396-8d3a-20bb2f582339	1.0	6650748	Most CNS glutamate uptake is mediated by EAAT2 into glia, though nerve terminals show evidence for uptake, through an unknown transporter.	p(HGNC:SLC1A2)	directlyIncreases	act(a(PUBCHEM:11006))
2107fbff-d022-4b01-9db4-2df2c871e09c	1.0	18992725	Can increased astrocytic GLT-1 levels lead to decreased calpain and caspase activation in P301L transgenic mice?	p(HGNC:SLC1A2)	directlyIncreases	act(p(FPLX:Caspase))
0e9012aa-a001-49bd-9611-0b80828dcc39	1.0	4751577	Chloride ions modulated the voltage dependent changes in EC50 values for transport by EAAT2.	p(HGNC:SLC1A2)	directlyIncreases	act(a(PUBCHEM:312))
3868d02d-9a9b-4b7d-b272-1aebfd80189c	1.0	25576211	A quantitative RT-PCR analysis revealed that SLC1A2 mRNA expression was upregulated in CRC containing SLC1A2 fusion transcripts, while it was downregulated in most other CRCs.	p(HGNC:SLC1A2)	directlyIncreases	act(p(HGNC:SLC1A2))
3868d02d-9a9b-4b7d-b272-1aebfd80189c	1.0	25576211	A quantitative RT-PCR analysis revealed that SLC1A2 mRNA expression was upregulated in CRC containing SLC1A2 fusion transcripts, while it was downregulated in most other CRCs.	p(HGNC:SLC1A2)	directlyIncreases	act(p(HGNC:SLC1A2))
a10fd025-4d19-4773-843d-27e3208985a8	1.0	26046374	De Groot and colleagues previously demonstrated that overexpression of EAAT2 in glioma cell lines, including U87MG and U251MG glioma cells, resulted in a reduced ability to form tumours and also caused in vivo and in vitro apoptosis.	p(HGNC:SLC1A2)	directlyIncreases	act(bp(GO:"GO:0006915"))
0230de77-e5f2-4a29-8f21-2c87218cbedc	1.0	5325259	Addition of the EAAT2 modulator arachidonic acid resulted in an enhancement (155 +/-5% control in the presence of 30 microM) of the L-glutamate transport capacity in the induced HEK and EAAT2 cells.	p(HGNC:SLC1A2)	directlyIncreases	act(a(PUBCHEM:444899))
3736f8cf-4240-414b-8492-dae0f0e2e419	1.0	25391854	EAAT2 levels correlated with PC counts but not tremor scores or tremor duration, providing further support that decreased EAAT2 levels in ET might cause excitotoxic PC death and might not be the result of long standing tremor.	p(HGNC:SLC1A2)	directlyIncreases	act(bp(GO:"GO:0008219"))
ec365f2e-ff7f-4e1d-91ae-ed9d8b53d49c	1.0	17321191	A putative glutamatergic system in the human CB is supported by the expression of the following genes : (1) the metabotropic Glu receptor 1 (mGluR1); (2) glutamate transporters : vesicular glutamate transporter (VGLUT1), glutamate and aspartate transporter GLAST (EAAT1), and GLT-1; and (3) the glutamate converting enzymes : glutamine synthase and glutaminase involved in the conversions of Glu into glutamine (Gln), and glutamine into Glu respectively (and).	p(HGNC:SLC1A2)	directlyIncreases	act(p(PFAM:PF04960))
86d76df9-5568-46a0-ad10-3bbda6557e28	1.0	24753081	Targeting and blocking the sumoylation of EAAT2 increases EAAT2 localization to the plasma membrane, in vitro, and therefore elevates glutamate transport.	p(HGNC:SLC1A2)	directlyIncreases	act(bp(GO:"GO:0051179"))
a1d90024-da1f-4ede-96ba-b0bac6f56873	1.0	6751449	The pharmacological sensitivity of spinal cord uptake to dihydrokainate suggests that the GLT-1 (glutamate transporter-1) subtype primarily mediates the transport activity.	p(HGNC:SLC1A2)	directlyIncreases	act(bp(GO:"GO:0006810"))
2e130e07-7f0c-4ad0-a9f7-302b78c6676a	1.0	26046374	Incubating U87MG and U251MG cell lines with pioglitazone resulted in a dose dependent activation of EAAT2 and PPARgamma but not GLAST-1 protein expression.	p(HGNC:SLC1A3)	directlyIncreases	act(p(HGNC:SLC1A2))
e00d65d9-c4be-4279-9a3b-54bb9a434b61	1.0	25064045	Tamoxifen activates both NF-kappaB and CREB to increase EAAT2 promoter activity, establishing that both factors are critical in tamoxifen induced enhancement of EAAT2 expression [XREF_BIBR].	a(PUBCHEM:2733526)	directlyIncreases	act(p(HGNC:SLC1A2))
a9983b8e-ddf6-47e0-9f46-22767ca1a2ac	1.0	24753081	In concordance, overexpression of wild type UBC9 in astrocytes increased distribution of EAAT2 into intracellular pools (XREF_FIG), leading to the clearing of EAAT2 from the plasma membrane.	p(HGNC:UBE2I)	directlyIncreases	act(p(HGNC:SLC1A2))
7b11d338-dc9e-440e-b4c2-686108b4a00a	1.0	21852380	In addition, YY1 siRNA inhibited the AEG-1-mediated EAAT2 promoter repression (XREF_FIG).	p(HGNC:YY1)	directlyIncreases	act(p(HGNC:SLC1A2))
b59077e5-e2cf-4555-94c1-676582f3c2cd	1.0	21792905	The human EAAT2 promoter was significantly activated by CEF, amoxicillin and dibutyryl cyclic AMP while controls such as glutamate and glycine had no effect (XREF_BIBR).	a(PUBCHEM:33613)	directlyIncreases	act(p(HGNC:SLC1A2))
86140a85-8222-400e-a96b-1be91e3af973	1.0	5325259	Addition of the EAAT2 modulator arachidonic acid resulted in an enhancement (155 +/-5% control in the presence of 30 microM) of the L-glutamate transport capacity in the induced HEK and EAAT2 cells.	a(PUBCHEM:444899)	directlyIncreases	act(p(HGNC:SLC1A2))
6c8e21cb-e02c-43ec-92f9-4142309f01a8	1.0	18326497	The specific NF-kappaB binding site at the -272 position of the EAAT2 promoter was responsible for ceftriaxone mediated EAAT2 induction.	a(PUBCHEM:5479530)	directlyIncreases	act(p(HGNC:SLC1A2))
25b5a1cc-a508-4ef2-8a68-3135fbb4e23b	1.0	5116900	Chelation of the copper ion of the prosthetic group of A4V prevented GLT1 inhibition.	a(CHEBI:29036)	directlyIncreases	act(p(HGNC:SLC1A2))
dc2acbe0-abf5-48d8-b6d3-01af0df1ca9e	1.0	6526716	Moreover, dibutyryl cyclic AMP (dbcAMP) potently promoted GLT-1 and/or GLAST expression in mesencephalic, cerebellar and spinal cord glia, further indicating that extracellular factors regulate glial glutamate transporter expression throughout the CNS.	a(PUBCHEM:9687)	directlyIncreases	act(p(HGNC:SLC1A2))
07bcc4c3-488d-4613-bac7-473ccdf02303	1.0	23356950	There were no changes in expression of EAAT1 and EAAT2 proteins in rats treated with haloperidol (28.5 mg/kg) compared to rats administrated vehicle in the temporal association cortex (XREF_FIG) or hippocampus (XREF_FIG).	a(PUBCHEM:3559)	directlyIncreases	act(p(HGNC:SLC1A2))
2255a6ec-0701-4ad6-be4c-4210830d4cdb	1.0	25391854	We found that EAAT2 levels did not differ between ET cases treated with and without propranolol (0.36 +/-0.23 vs. 0.42 +/-0.31, p = 0.86), or treated with and without GABAergic medications (primidone or benzodiazepines) (0.32 +/-0.22 vs. 0.46 +/-0.29, p = 0.36).	a(PUBCHEM:4946)	directlyIncreases	act(p(HGNC:SLC1A2))
8633dbb5-09ec-4434-92de-974757927108	1.0	25064045	The protein kinase A (PKA) also mediates dbcAMP- and tamoxifen enhanced EAAT2 promoter activity [XREF_BIBR, XREF_BIBR].	a(CHEBI:41774)	directlyIncreases	act(p(HGNC:SLC1A2))
55152e01-c83b-421e-80ff-c4d0aa05b5f3	1.0	23973312	Previous study also reveals that AQP4 deficiency down-regulates GLT-1 expression and glutamate uptake in cortical astrocytes ().	p(HGNC:AQP4)	directlyDecreases	p(HGNC:SLC1A2)
9276ff70-f438-48f2-9518-7ddb9eda7b67	1.0	16567804	Caspase-3 activation and impairment in expression and activity of EAAT2 are two distinct molecular mechanisms occurring in human amyotrophic lateral sclerosis (ALS) and in the transgenic rodent model of the disease.	p(HGNC:CASP3)	directlyDecreases	p(HGNC:SLC1A2)
