INDRA UUID	Confidence	PMID	Evidence	Subject	Predicate	Object
74597139-a991-4d13-9f20-3a4a5b959878	1.0	19854170	In this study, we addressed whether phosphorylations on OPN were involved in migration of osteoclasts and if endogenous TRAP from osteoclasts modulated OPN dependent osteoclast migration.Minimum Essential Medium Eagle (M4526), alkaline phosphatase conjugated goat anti-rabbit IgG (A7539), leukocyte detection kit (387-A), BSA (bovine serum albumin, A2153) and pNPP (4-nitrophenyl phosphate [(hydroxymethyl)-aminomethane] salt, 73737) came from Sigma-Aldrich Co (St. Louis, MO, USA).	p(HGNC:ACP5)	directlyIncreases	act(p(HGNC:SPP1))
1f338bd0-64f8-42d8-b204-27ff9c46a5c9	1.0	23840832	This assumption may explain at least in part an induction rather than inhibition of osteopontin gene expression in HASMC treated with ACSL3 siRNA (XREF_FIG).	p(HGNC:ACSL3)	directlyIncreases	act(p(HGNC:SPP1))
74066801-0e0f-4fc1-a6f5-7bbe274fc992	1.0	5341762	Ang II enhanced alpha (v), beta (1), beta (3), and beta (5) integrins; osteopontin; and alpha-actinin mRNA and protein levels in cardiac fibroblasts.	p(HGNC:AGT)	directlyIncreases	act(p(HGNC:SPP1))
15812655-c978-4fe7-9ac4-02aba2af7900	1.0	22037483	However, since short-term treatment of BaP (6h treatment, data not shown) is not sufficient to induce OPN promoter driven activity, it is possible that prior induction of NFkB by ligand activated AhR is required to induce OPN promoter activity.Based on computer analyses, many putative transcription factor binding sites, such as binding sites for AP1, AP2, Oct-1, Ets-1, C/EBP, E4TF, E2A, SP1, Myc, and RUNX2, reside at the proximal region of the promoter.	p(HGNC:AHR)	directlyIncreases	act(p(HGNC:SPP1))
88aba43b-be46-41c6-a8ef-e3cad3fbe3c7	1.0	6568560	PTEN overexpression blocked RANKL activated Akt stimulated survival and osteopontin stimulated cell migration while a dominant negative PTEN increased the actions of RANKL and OPN.	p(FPLX:AKT)	directlyIncreases	act(p(HGNC:SPP1))
b4104af8-544c-41ea-aad9-f43f78bce74a	1.0	6484960	Expression of either USF or AP1 activates the proximal OPN promoter in A7r5 VSMCs in part via the CCTCATGAC element.	p(FPLX:AP1)	directlyIncreases	act(p(HGNC:SPP1))
0ef907c2-bbda-4f33-a4b4-7798e1feaa4d	1.0	6870061	The actin polymerization inhibitors cytochalasin D and latrunculin A also induced platelet adhesion to osteopontin and vitronectin.	p(FPLX:Actin)	directlyIncreases	act(p(HGNC:SPP1))
91f8291c-225a-4eae-882f-3558c6ee38ee	1.0	6719428	Aldosterone and salt increased circulating osteopontin (925.0 +/- 80.2 ng/mL vs. 53.6 +/- 6.3 ng/mL) and albuminuria (75.8 +/- 10.9 mg/24 hours vs. 13.2 +/- 3.0 mg/24 hours) compared to controls and increased expression of proinflammatory molecules.	a(PUBCHEM:24758425)	directlyIncreases	act(p(HGNC:SPP1))
0384fc92-917b-4c62-aed0-f9c8d6d14d1b	1.0	5801693	OPN messenger RNA (mRNA) in the lung was notably induced by BLM instillation, and the development of the fibrotic process was associated with an increase in the expression of OPN mRNA and protein.	p(HGNC:BLM)	directlyIncreases	act(p(HGNC:SPP1))
df615abd-c0db-41f4-b4a6-04e6ee9a862e	1.0	25749383	Overexpression of BMI1 in OPN deficient cells reversed the negative effects of OPN depletion on sphere formation (XREF_SUPPLEMENTARY).	p(HGNC:BMI1)	directlyIncreases	act(p(HGNC:SPP1))
