INDRA UUID	Confidence	PMID	Evidence	Subject	Predicate	Object
7462f8d4-c80a-4845-b792-5aa327ada1e6	1.0	21887257	We hypothesized that CS and TNFalpha increase NIK protein levels resulting in increased phosphorylation of IKKalpha and leading to histone acetylation.	p(HGNC:TNF)	directlyIncreases	p(FPLX:Histone, pmod(Ac))
049cbde7-dfde-442a-a420-ff8a70018b4c	1.0	23886946	Expression of the N-terminal fragment of Fry induced hyperacetylation of MTs in both mitotic and interphase cells.	p(HGNC:TNF)	directlyIncreases	p(PFAM:PF05175, pmod(Ac))
ff2672c8-49cc-4991-a690-834aafaa9899	1.0	22187158	Indeed, IkappaB-alpha was found associated with hystone deacetylases at the hes1 promoter, from where it was removed following TNF-alpha stimulation causing histone acetylation and hes1 transcriptional activation (XREF_BIBR).	p(HGNC:TNF)	directlyIncreases	p(HGNC:GATD3A, pmod(Ac))
7026a71c-7f9e-4008-8ddb-12985955667b	1.0	24690766	However, the induction level of histone acetylation by TNFalpha was decreased in the sparse monolayer.	p(HGNC:TNF)	directlyIncreases	p(FPLX:Histone, pmod(Ac))
7c25f596-b19d-4c48-b49e-00f096fc9da4	1.0	18182168	In addition, p300 together with NF-kappaB associate with VCAM-1 promoter, is dynamically linked to histone H3 acetylation stimulated by TNF-alpha, determined by chromatin immunoprecipitation assay ().	p(HGNC:TNF)	directlyIncreases	p(FPLX:"Histone_H3", pmod(Ac))
690caced-a4c2-44fb-b3f3-ca9f445ca548	1.0	12471036	p50 acetylation was detected in resting cells and was increased by TNFalpha or lipopolysaccharide.	p(HGNC:TNF)	directlyIncreases	p(HGNC:NFKB1, pmod(Ac))
4d15d853-41a2-4d43-87b6-827aa5285a90	1.0	27980322	Other study further supported that TNF-alpha increased the acetylation of NF-kappaB at lysine 310 in fibroblasts, while this effect was inhibited by resveratrol via a SIRT1 dependent manner [XREF_BIBR].	p(HGNC:TNF)	directlyIncreases	p(FPLX:NFkappaB, pmod(Ac, Lys, 310))
29cc0c33-a601-4e6f-8db9-699a6401f14b	1.0	23257246	Furthermore, although TNF-alpha treatment significantly increased p-65 acetylation and activation [(A)], as well as COX-2 mRNA [] and protein expression [(B) and (D)], pretreatment with resveratrol impaired the activation of these proinflammatory factors.	p(HGNC:TNF)	directlyIncreases	p(HGNC:PTGS2, pmod(Ac))
ca1f69a2-f67a-4db8-87a4-df8c7706b68f	1.0	19165610	BRMS1 was recently shown to abolish TNF dependent acetylation of p65 on K310, resulting in a substantial decrease in p65 transactivation potential (XREF_BIBR).	p(HGNC:TNF)	directlyIncreases	p(HGNC:RELA, pmod(Ac, Lys, 310))
b2f8ba77-9fcb-48e0-990b-37125fc0eafb	1.0	25239884	Studies have shown that TNF-alpha induces acetylation of p65, which is a key event in transcriptional activation of its target genes ().	p(HGNC:TNF)	directlyIncreases	p(HGNC:RELA, pmod(Ac))
f6f76a87-91fb-44ba-b143-cff4fc7caa4b	1.0	21887257	We also observed that mutants of NIK, as well as the loss of NIK led to reduced CS or TNFalpha induced phosphorylation and acetylation of RelA and p65 on Ser536 and Lys310 together with IKKalpha phosphorylation.	p(HGNC:TNF)	directlyIncreases	p(HGNC:RELA, pmod(Ac, Ser, 536))
2109c7a1-1b19-400f-9bda-392abb6dd525	1.0	25314079	Exogenous TNF-alpha increased Snail acetylation in different types of cancer cells (D).	p(HGNC:TNF)	directlyIncreases	p(HGNC:SNAI1, pmod(Ac))
84ce9ffb-10fa-4013-9aaa-e3c68806b0ff	1.0	23257246	Furthermore, although TNF-alpha treatment significantly increased p-65 acetylation and activation [(A)], as well as COX-2 mRNA [] and protein expression [(B) and (D)], pretreatment with resveratrol impaired the activation of these proinflammatory factors.	p(HGNC:TNF)	directlyIncreases	p(HGNC:SYT1, pmod(Ac))
3f8df09b-680e-4a6d-badb-8548dfbe87b2	1.0	12165799	TNFalpha induces acetylation of p53 but attenuates its transcriptional activation in rheumatoid synoviocytes.	p(HGNC:TNF)	directlyIncreases	p(HGNC:TP53, pmod(Ac))
1c8f48b5-d4ab-4f70-b6f0-056deac864cd	1.0	5706508	We determined whether; (1) allergic asthmatic serum (AAS) modulates ASMC mediator release in response to IL-1beta and TNF-alpha, and (2) IL-1beta and TNF-alpha prime ASMC to release mediators in response to AAS.	a(PUBCHEM:25191592)	directlyIncreases	act(p(HGNC:TNF))
afde068b-3611-4330-8a25-d083f22472c7	1.0	22933572	To further prove that both AATF and c-Jun are necessary to induce the endogenous TNF-alpha gene, we reintroduced c-Jun (c-Jun-hemagglutinin [HA]) in c-JunKO MEFs with or without AATF and verified the induction of TNF-alpha by semiquantitative RT-PCR.	p(HGNC:AATF)	directlyIncreases	act(p(HGNC:TNF))
d214ab0b-7e6f-43bd-a32d-ebb90b15b976	1.0	18155667	However, our results also suggest that there may be a signal route independent of PPARgamma, since GW9662 could n't completely reverse the ABCA1 induction of TNF-alpha.	p(HGNC:ABCA1)	directlyIncreases	act(p(HGNC:TNF))
e4876750-f850-4ab3-9b58-60e2b9891aa7	1.0	6358766	We initially showed that monocytes in ALD spontaneously produce TNF and overproduce TNF in response to a lipopolysaccharide (LPS) stimulus, and this could be attenuated by antioxidants in vitro and in vivo.	p(HGNC:ABCD1)	directlyIncreases	act(p(HGNC:TNF))
7dd14f9a-2097-4028-9b5e-d799e4c46a4b	1.0	6322700	From the kinetic pattern of cytokine induction and gene expression, ABL appeared to induce the up-regulation of IL-1beta and TNF-alpha in splenocytes up to 24 h, whereas NTL showed a more sustained effect on the expression of these cytokines in macrophages.	p(FPLX:"ABL_family")	directlyIncreases	act(p(HGNC:TNF))
