INDRA UUID	Confidence	PMID	Evidence	Subject	Predicate	Object
7390a627-ce76-4ee4-a06c-7a6d1a352508	1.0	23453806	Therefore, the activation of AMPK induces a phosphorylated species of TXNIP that migrates slower on SDS-PAGE.	p(FPLX:AMPK)	directlyIncreases	act(p(HGNC:TXNIP))
030e4a54-d426-4373-af02-48075379ae42	1.0	18202760	Rare sugar D-allose induces specific up-regulation of TXNIP and subsequent G1 cell cycle arrest in hepatocellular carcinoma cells by stabilization of p27kip1. '	a(PUBCHEM:12285879)	directlyIncreases	act(p(HGNC:TXNIP))
dbce0330-f10e-466c-97c6-ecc830763c27	1.0	24843047	Recent reports showed that Txnip itself is induced by ER stress, serving as a link between ER stress and inflammatory signaling (Lerner et al, XREF_BIBR; Oslowski et al, XREF_BIBR).	p(HGNC:ESR1)	directlyIncreases	act(p(HGNC:TXNIP))
410ce4ac-fd70-4894-bdc8-5647c7c38fb5	1.0	26416763	The additional GO overrepresentation analysis revealed five cell cycle related genes, MAPK13, TRNP1, TUBA4A, GEM, and TXNIP, which were upregulated by both EZH2 depletion and FSS exposure.	p(HGNC:EZH2)	directlyIncreases	act(p(HGNC:TXNIP))
5bd26ac3-d5b2-4aa6-b2ce-431cdeafc108	1.0	19254690	Up-regulation of Thioredoxin Interacting Protein (Txnip) by p38 MAPK and FOXO1 Contributes to the Impaired Thioredoxin Activity and Increased ROS in Glucose- treated Endothelial Cells.	p(HGNC:FOXO1)	directlyIncreases	act(p(HGNC:TXNIP))
6151d117-955c-41bb-9d1b-17c17fc606c9	1.0	20656682	Subsequently, we found that FOXO3A, whose activity increased in senescent cells, transcriptionally up-regulates VDUP1 expression and miR-17-5p, whose expression decreased in senescent cells, directly interacted with the 3 '-untranslated region of VDUP1 transcripts, and destabilized VDUP1 mRNA in young cells.	p(HGNC:FOXO3)	directlyIncreases	act(p(HGNC:TXNIP))
12a46e8f-7914-4810-b21b-1e37b9359ec9	1.0	23520550	The finding that an inhibitor of glyceraldehyde-3-phosphate dehydrogenase, iodoacetate, which induces the accumulation of glucose metabolites, partially restored the Txnip suppression by LPS is consistent with a hypothesis that MondoA : Mlx senses a decrease in glucose metabolite concentration associated with LPS stimulation.	p(HGNC:GAPDH)	directlyIncreases	act(p(HGNC:TXNIP))
01890cd6-cda8-4549-b185-dc93ebd1155d	1.0	20398702	Thioredoxin binding protein-2 (TBP-2/VDUP1/TXNIP), a regulator of redox reactions, cell growth and lipid metabolism, was also reportedly induced by GC.	p(HGNC:GC)	directlyIncreases	act(p(HGNC:TXNIP))
59ea4a5e-4dd2-4110-bad3-ffc8d9e3c778	1.0	21940680	However, the HMGB1 induced association of TXNIP and NLRP3 was markedly decreased in gp91 phox -/- EC (lane 4 and 6).	p(HGNC:HMGB1)	directlyIncreases	act(p(HGNC:TXNIP))
222e597e-795f-477d-9296-d68512d06641	1.0	7166617	The deletion of HSE abolished transcriptional activity of VDUP1 promoter by stresses and the binding of heat shock factor (HSF) to HSE was confirmed by gel-shift and supershift assays using nuclear extracts prepared from stressed Bosc cells.	a(PUBCHEM:779)	directlyIncreases	act(p(HGNC:TXNIP))
