INDRA UUID	Belief	PMID	Evidence	API	Subject	Predicate	Object
d0be9ab7-58ee-4c0e-ad24-1f725872a4ce	0.95	11290560	We also showed that warfarin and the extracellular domain of Axl conjugated with Fc portion of human IgG1 (Axl-Fc) inhibit mesangial cell proliferation by interfering the Gas6 and Axl pathway in vitro.	reach	p(HGNC:AXL)	directlyDecreases	act(p(HGNC:GAS6))
4f8e23c5-b0b5-4e10-adf0-41ed90dad05f	0.86	11953011	However, while BTEB1 and its ubiquitous family member Sp1 increased basal p21 (WAF1) and IGFBP-2 transcription when added as expression constructs in the parental Hec-1-A cell line, only Sp1 activated Axl transcription, despite the presence in all three gene promoters of GC enriched regions that presumably can bind BTEB1 and Sp1 with similar affinities.	reach	p(HGNC:AXL)	directlyIncreases	p(HGNC:SP1)
beb089cd-49b8-43c7-9688-124718d4de79	0.99	14750094	An antisense probe against the p22 phox unit of NADPH-oxidase suppressed Ang II induced Gas6 and Axl expression.	reach	p(HGNC:AGT)	directlyIncreases	p(HGNC:AXL)
31bea5df-cfc5-44b6-895c-38599e279341	0.95	15123721	Axl phosphorylation by H (2) O (2) was also attenuated by warfarin, which inhibits Gas6 activity by preventing post-translational modification.	reach	p(HGNC:AXL)	directlyIncreases	act(p(HGNC:GAS6))
d0be9ab7-58ee-4c0e-ad24-1f725872a4ce	0.95	16723520	The gas6 protective effect was abrogated by the Axl decoy receptor Axl-Fc, by the phosphatidylinositol 3 (PI3) kinase inhibitor LY294002 [2-(4-morpholinyl)-8-phenyl-1 (4H)-benzopyran-4-one], and in Akt1 (-/-) oligodendrocytes.	reach	p(HGNC:AXL)	directlyDecreases	act(p(HGNC:GAS6))
7a366156-dc15-4da6-9a8c-db7bcb8a1713	0.95	16831897	Although IFNalpha induction of Axl expression in murine bone marrow derived macrophages was more modest than in human monocyte derived macrophages (unpublished data), a substantial role for Axl in mediating IFNalpha suppression of TNFalpha production was confirmed using axl-/- murine macrophages (XREF_FIG).	reach	p(FPLX:IFNA)	directlyIncreases	p(HGNC:AXL)
2bf8ced2-acec-43a3-8d4c-205553944bc0	0.92	16831897	Collectively, the results demonstrate that IFNalpha suppresses TNFalpha production by increasing macrophage expression of Axl and responsiveness to Axl ligands, thereby inducing Twist expression and Twist mediated repression of the TNFalpha promoter.	reach	p(FPLX:IFNA)	directlyDecreases	p(HGNC:AXL)
7a366156-dc15-4da6-9a8c-db7bcb8a1713	0.95	16831897	First, we used qPCR to confirm the microarray results that IFNalpha, but not IL-10, induced Axl expression in macrophages (XREF_FIG).	reach	p(FPLX:IFNA)	directlyIncreases	p(HGNC:AXL)
0e18f887-fde5-4083-b423-de0d605d6a5e	0.86	16831897	First, we used qPCR to confirm the microarray results that IFNalpha, but not IL-10, induced Axl expression in macrophages (XREF_FIG).	reach	p(HGNC:IL10)	directlyIncreases	p(HGNC:AXL)
74ac2d28-bf2f-46c7-8cef-0b0510f1f6b2	0.86	16831897	Twist expression was activated by the Axl ligand Gas6 and by protein S and apoptotic cells.	reach	p(HGNC:AXL)	directlyIncreases	p(HGNC:TWIST1)
