INDRA UUID	Belief	PMID	Evidence	API	Subject	Predicate	Object
9bb52717-0f48-4850-9194-cadef60c76d3	0.88	10049778	Caspase-1 was activated only by Bax significantly when coexpressed with mutated p53 but not with wt p53.	sparser	p(HGNC:BAX)	directlyIncreases	act(p(HGNC:CASP1))
9bb52717-0f48-4850-9194-cadef60c76d3	0.88	10049778	Caspase-1 was activated only by Bax significantly when coexpressed with mutated p53 but not with wt p53.	reach	p(HGNC:BAX)	directlyIncreases	act(p(HGNC:CASP1))
4c4c1599-240f-4242-8b94-9ef0c415fec2	1.0	10477277	These results show that PI9 is an inhibitor of caspase-1 and to a smaller extent caspase-4 and caspase-8, but not of the more distantly related caspase-3.	reach	p(HGNC:SERPINB9)	directlyDecreases	act(p(HGNC:CASP1))
6c8e225d-956c-4b4b-8bfd-8b90d467e9cb	0.86	10502300	The major maturation activated MBP kinase (p45 Mapk) was molecularly cloned based on tryptic sequence information obtained with the purified enzyme and shown to be highly related to human Erk1 with 76% amino acid identity.	reach	p(HGNC:CASP1)	directlyIncreases	act(p(HGNC:MBP))
f943899f-d14c-4147-a5d5-2cb258daf5cc	0.88	10593876	These results suggest a modulator role of GSH in FAA-induced cell cycle disturbance and apoptosis where activation of cyclin B-dependent kinase and caspase-1 are early events preceding mitochondrial cytochrome c release, caspase-3 activation, and Deltapsi(m) loss. -Jorquera, R., Tanguay, R. M. Cyclin B-dependent kinase and caspase-1 activation precedes mitochondrial dysfunction in fumarylacetoacetate-induced apoptosis.	sparser	p(HGNC:CASP1)	directlyIncreases	act(p(FPLX:Cyclin))
4139f94d-8492-4af8-9e72-e82c314d5552	0.95	10744676	Both STAT-1 overexpression and interferon-gamma treatment or exposure to ischemia activated the promoter of the pro apoptotic caspase-1 gene in cardiomyocytes.	reach	p(HGNC:STAT1)	directlyIncreases	act(p(HGNC:CASP1))
4c4c1599-240f-4242-8b94-9ef0c415fec2	1.0	10790428	Our findings suggest that constitutive levels of PI-9 expression might limit caspase-1 activity, and represent a novel endogenous antiinflammatory mechanism.	reach	p(HGNC:SERPINB9)	directlyDecreases	act(p(HGNC:CASP1))
0d0aad9d-cabf-4c3c-ba58-dec051763623	0.92	10791975	Neither caspase-1 knockout line can be induced to express caspase-11, whereas our caspase-11 knockout mouse line expresses caspase-1 normally (Wang et al. 1998).	reach	p(HGNC:CASP1)	directlyIncreases	act(p(UP:P70343))
0d0aad9d-cabf-4c3c-ba58-dec051763623	0.92	10791975	We have shown that although overexpression of caspase-1 can not induce caspase-11 -/- EF cells to die, caspase-11 induced apoptosis of caspase-1 -/- EF cells efficiently (Wang et al. 1998).	reach	p(HGNC:CASP1)	directlyIncreases	act(p(UP:P70343))
24761f26-bad4-442a-a48a-b4ce01a92976	0.95	10791975	Xu et al. 1998 have shown that interferon gamma can upregulate caspase-1 under certain conditions and our result showed that IL-1beta can stimulate the production of caspase-11.	reach	p(HGNC:IFNG)	directlyIncreases	act(p(HGNC:CASP1))
bf9c06db-1edb-475d-92d5-7a84e8b32b06	1.0	11042671	Etoposide induced increased formation of ceramide from sphingomyelin and release of mitochondrial cytochrome c followed by activation of caspase-9 and caspase-3, but not caspase-1.	reach	p(HGNC:CASP1)	directlyIncreases	act(p(HGNC:CASP3))
7e719817-acee-43cd-a0a0-c623786f6808	0.98	11042671	Etoposide induced increased formation of ceramide from sphingomyelin and release of mitochondrial cytochrome c followed by activation of caspase-9 and caspase-3, but not caspase-1.	reach	p(HGNC:CASP1)	directlyIncreases	act(p(HGNC:CASP9))
bda5b3e6-9797-4e83-87e7-f8c5c5a4966a	0.96	11092762	We propose that the increased level of caspase-1 induced by intranuclear huntingtin contributes to HD associated cell death.	reach	p(HGNC:HTT)	directlyIncreases	p(HGNC:CASP1)
bf9c06db-1edb-475d-92d5-7a84e8b32b06	1.0	11092762	We show that intranuclear huntingtin increases the expression of caspase-1, which may in turn activate caspase-3 and trigger apoptosis.	sparser	p(HGNC:CASP1)	directlyIncreases	act(p(HGNC:CASP3))
a541a041-31fe-4edb-95cd-846e78a311cc	0.95	11136825	It is possible that activated caspase-1 and -11 in infiltrating CD3epsilon 1 T lymphocytes mediate the production of IL-1beta and IFN-gamma, and that these cytokines mediate their cytotoxicity against the OLGs in EAE lesions through TNF-alpha.	reach	p(HGNC:CASP1)	directlyIncreases	act(p(HGNC:IFNG))
23cd71c7-4848-4d71-ba90-b990c4a3131d	0.86	11157055	Instead, pathogen mediated activation of caspase-1 is enhanced selectively, implying that Raf-1 antagonizes stimulus induced caspase-1 activation and apoptosis.	reach	p(HGNC:RAF1)	directlyDecreases	act(p(HGNC:CASP1))
39b3cb61-cb90-4a6e-b1ef-eea31ba27558	1.0	11157055	Invasive Salmonella induces macrophage apoptosis via the activation of caspase-1 by the bacterial protein SipB.	sparser	p(UP:Q79BT1)	directlyIncreases	act(p(HGNC:CASP1))
39b3cb61-cb90-4a6e-b1ef-eea31ba27558	1.0	11157055	The SPI-1-encoded protein SipB has been shown to bind to and activates caspase-1, thereby causing apoptosis 16.	reach	p(UP:Q79BT1)	directlyIncreases	act(p(HGNC:CASP1))
b91e6de5-4352-412a-a375-9db2e39a1824	0.86	11267979	Furthermore, treatment of a human renal cancer cell line, ACHN, with 5-aza-2 '-deoxycytidine also caused recovery of caspase-1 expression, which was not detected before treatment.	reach	p(HGNC:LARP6)	directlyIncreases	p(HGNC:CASP1)
