INDRA UUID	Belief	PMID	Evidence	API	Subject	Predicate	Object
c17cf0f8-9c7a-4b61-97a9-72085c3d0999	0.95	10027877	Urocortin (Ucn) is related to corticotropin releasing hormone (CRH), and both are released in the brain under stress where they stimulate CRH 1 and 2 receptors (CRHR).	reach	p(HGNC:CRHR1)	directlyIncreases	act(p(HGNC:CRH))
9dd58ed9-99e4-4320-8113-053cc995b3a3	0.95	10448190	Two distinct CRF receptor subtypes, CRFR1 and CRFR2, are thought to mediate CRF actions in the CNS.	reach	p(HGNC:CRHR1)	directlyIncreases	act(p(HGNC:C1QL1))
5e2d2999-be35-47e5-94df-4277338a711f	0.99	10648719	Both CRF and UCN elicited activational responses in cell groups that are involved in central autonomic control but that express neither CRF-R, including the central amygdaloid and paraventricular hypothalamic nuclei, and brainstem catecholaminergic cell groups.	reach	p(HGNC:C1QL1)	directlyIncreases	act(p(HGNC:CRHR1))
f2af5c7f-6cb5-4fd3-942f-ac5f31681e44	0.99	10648719	Both CRF and UCN elicited activational responses in cell groups that are involved in central autonomic control but that express neither CRF-R, including the central amygdaloid and paraventricular hypothalamic nuclei, and brainstem catecholaminergic cell groups.	reach	p(HGNC:UCN)	directlyIncreases	act(p(HGNC:CRHR1))
5e2d2999-be35-47e5-94df-4277338a711f	0.99	10648719	Dual labeling revealed extensive correspondence of CRF stimulated Fos-immunoreactivity (Fos-ir) and CRF-R1 mRNA at these and other loci.	reach	p(HGNC:C1QL1)	directlyIncreases	act(p(HGNC:CRHR1))
c17cf0f8-9c7a-4b61-97a9-72085c3d0999	0.95	11403094	CRH-R1 mediates CRH induced blood pressure elevation, while peripheral CRH-R2 mediates the hypotensive effect of systemically administered UCN and CRH.	reach	p(HGNC:CRHR1)	directlyIncreases	act(p(HGNC:CRH))
c17cf0f8-9c7a-4b61-97a9-72085c3d0999	0.95	11403094	CRH-R2 mediates a central anxiolytic response, opposing the anxiogenic effect of CRH mediated by CRH-R1.	reach	p(HGNC:CRHR1)	directlyIncreases	act(p(HGNC:CRH))
5a7f93c2-3444-44d4-ae9a-9ad030783a43	0.92	11641109	The CRF-R1 and CRF-R2 antagonist astressin B (30 microg/kg ip) and the selective CRF-R2 antagonist antisauvagine-30 (100 microg/kg ip) completely antagonized urocortin action, whereas the selective CRF-R1 antagonist CP-154,526 (10 mg/kg ip) had no effect.	reach	p(HGNC:CRHR1)	directlyDecreases	act(p(HGNC:UCN))
414dda3f-2ace-4319-b808-451296da7d88	0.95	12011471	CRH, dehydroepiandrosterone, and 17 beta-estradiol did not modulate CRH-R expression, whereas testosterone at 10 (-7) M down-regulated CRH-R1 and CRH-R2 mRNA expression at 6 to 24 h, and growth hormone (GH) switched CRH-R1 mRNA expression to CRH-R2 at 24 h. Based on these findings, CRH may be an autocrine hormone for human sebocytes that exerts homeostatic lipogenic activity, whereas testosterone and growth hormone induce CRH negative feedback.	reach	p(HGNC:CRH)	directlyIncreases	p(HGNC:CRHR1)
006dce48-85ee-422c-840e-bf0391c1cc21	0.95	12121497	Northern blot analysis revealed that, under serum-free conditions, 10 nM CRF decreased CRF-R1 mRNA levels in cultured rat anterior pituitary cells as we reported previously.	reach	p(HGNC:C1QL1)	directlyDecreases	p(HGNC:CRHR1)
006dce48-85ee-422c-840e-bf0391c1cc21	0.95	12121497	These findings indicate that CRF may down-regulate CRF-R1 mRNA expression via a cAMP-PKA-mediated mechanism in rat anterior pituitary cells, and that CREB may mediate at least a portion of this inhibitory effect.	reach	p(HGNC:C1QL1)	directlyDecreases	p(HGNC:CRHR1)
dd97a925-948d-40c0-a7f7-67b8a5cfc09a	0.95	12733706	In this study, to determine whether CRF can act directly on hypothalamic CRF neurons, thereby increasing CRFR-1 expression, microinjection of CRF into PVN neurons in vivo and primary cultures of dispersed rat fetal hypothalami in vitro were performed.	reach	p(HGNC:C1QL1)	directlyIncreases	p(HGNC:CRHR1)
dd97a925-948d-40c0-a7f7-67b8a5cfc09a	0.95	12733706	Microinjection of 0.1 microg of CRF into the PVN significantly increased c-fos and CRFR-1 mRNA expression in the CRF producing parvocellular PVN, 30 min or 180 min after injection, respectively.	reach	p(HGNC:C1QL1)	directlyIncreases	p(HGNC:CRHR1)
9dd58ed9-99e4-4320-8113-053cc995b3a3	0.95	12969235	In rats, acute stress substantially increases corticotropin releasing factor (CRF) type 1 receptor (CRFR-1) mRNA expression in the paraventricular nucleus (PVN) and osmotic stimulation induces both CRF and CRFR-1 mRNA in magnocellular PVN and supraoptic nucleus (SON).	reach	p(HGNC:CRHR1)	directlyIncreases	act(p(HGNC:C1QL1))
3d519729-e651-472e-a4a8-001df9a58230	0.98	14670995	Corticotropin releasing factor (CRF) receptor (CRFR)-mediated activation of the ERKs 1/2-p 42 and -44) has been reported for CRF, urocortin (Ucn)-I, and sauvagine.	reach	p(HGNC:CRHR1)	directlyIncreases	act(p(FPLX:ERK))
32455b0c-6408-4b4f-9ba7-577fdf79fc9b	0.86	14764822	CRH down-regulated CRH-R1 and CRH-R2 mRNA expression in isolated adipocytes.	reach	p(HGNC:CRH)	directlyDecreases	p(HGNC:CRHR1)
f2af5c7f-6cb5-4fd3-942f-ac5f31681e44	0.99	15142984	Similarly, CRF and UCN up-regulate the endogenous CRFR1 at the mRNA level in NT2 and MCF 7 cells.	reach	p(HGNC:UCN)	directlyIncreases	act(p(HGNC:CRHR1))
f257504e-634d-4c85-8d68-8ca8dafc9022	0.95	15601950	CRF induced depolarization was tetrodotoxin insensitive and was blocked by the peptidergic CRF-R1 antagonist astressin.	reach	p(HGNC:CRHR1)	directlyDecreases	act(p(HGNC:C1QL1))
f257504e-634d-4c85-8d68-8ca8dafc9022	0.95	15752579	The hypoxia increased CRF, CRF mRNA, CRFR1 mRNA, and corticosterone were blocked by CRFR1 antagonist (CP-154,526), suggesting that CRFR1 in PVN and pituitary are responsible for the hypoxia increased CRF and CRF mRNA in PVN.	reach	p(HGNC:CRHR1)	directlyDecreases	act(p(HGNC:C1QL1))
979b9b91-66db-4b66-8d63-eccacbaa97a4	0.88	16014403	CRH, Unc, and ACTH stimulate all elements of the DHEAS synthetic pathway and activate CRH-R1 as well.	reach	p(HGNC:POMC)	directlyIncreases	act(p(HGNC:CRHR1))
1cd496eb-ae03-48c0-a970-c3cbcdb90bfe	0.86	16236179	Rats treated with a CRH receptor 1 (CRHR1) antagonist had diminished FasL endometrial expression and reduced number of implantation sites, suggesting that locally produced CRH promotes implantation and maintenance of early pregnancy mainly by killing activated T cells [XREF_BIBR].	reach	p(HGNC:CRHR1)	directlyDecreases	p(HGNC:FASLG)
c17cf0f8-9c7a-4b61-97a9-72085c3d0999	0.95	16245303	In skin cells CRH action is mediated by CRH-R1, a subject to posttranslational modification with expression of alternatively spliced isoforms.	reach	p(HGNC:CRHR1)	directlyIncreases	act(p(HGNC:CRH))
e075b3cb-d141-4d8e-b914-75eab64e9beb	0.92	16285953	Our results suggest that JTC-017, a specific corticotropin releasing hormone receptor 1 antagonist, attenuates hippocampal noradrenaline release, visceral perception, adrenocorticotropic hormone release, and anxiety after acute colorectal distention in rats.	reach	p(HGNC:CRHR1)	directlyDecreases	act(p(HGNC:POMC))
f257504e-634d-4c85-8d68-8ca8dafc9022	0.95	16385142	CRF depolarizes hypocretin neurons, and this effect is blocked by a CRF-R1 antagonist.	reach	p(HGNC:CRHR1)	directlyDecreases	act(p(HGNC:C1QL1))
9dd58ed9-99e4-4320-8113-053cc995b3a3	0.95	16819988	Agonist induced CRFr internalization in LC neurons may underlie acute desensitization to CRF or stress.	reach	p(HGNC:CRHR1)	directlyIncreases	act(p(HGNC:C1QL1))
23f90d5b-a82a-4aec-8de1-059df5556beb	0.86	16840531	A direct effect of recombinant LexA protein on crhR expression was confirmed from the observation that LexA reduces crhR expression in a linear manner in an in vitro transcription and translation assay.	reach	p(UP:A5G2J1)	directlyDecreases	p(HGNC:CRHR1)
23f90d5b-a82a-4aec-8de1-059df5556beb	0.86	16840531	LexA represses crhR gene expression in vitro.	reach	p(UP:A5G2J1)	directlyDecreases	p(HGNC:CRHR1)
3d519729-e651-472e-a4a8-001df9a58230	0.98	16959871	The intracellular pathways by which CRH-R1 activates these MAPK are only partially understood; here we characterized further signaling mechanisms and molecules involved in CRH-R1-mediated ERK1/2 and p38 MAPK activation.	reach	p(HGNC:CRHR1)	directlyIncreases	act(p(FPLX:ERK))
