INDRA UUID	Belief	PMID	Evidence	API	Subject	Predicate	Object
5264fc47-0b3a-4f8f-ab7c-6c02507e0bf9	0.86	10099986	These results indicate that HCG can induce the elevation of serum and follicular fluid MIF concentrations through the stimulation of ovarian cells, and that MIF is probably involved in the mechanism of ovulation.	reach	p(FPLX:hCG)	directlyIncreases	act(p(HGNC:MIF))
90bfd6b4-f36a-45ea-bef5-a3af6254257b	0.98	10446857	Synoviocyte MIF was not increased by IL-1beta, TNFalpha, or IFNgamma.	reach	p(HGNC:IFNG)	directlyIncreases	act(p(HGNC:MIF))
5b456b7d-d0ca-4b05-bf9f-f0fc03689f3d	0.95	10446857	Synoviocyte MIF was not increased by IL-1beta, TNFalpha, or IFNgamma.	reach	p(HGNC:IL1B)	directlyIncreases	act(p(HGNC:MIF))
22d81649-5db4-496b-b004-f612dce93c27	0.86	10504254	We find that MIF inhibition of chemotaxis does not occur at the level of the CC chemokine receptor for MCP-1, CCR2, since MIF does not alter the binding of (125)I-MCP-1 to monocytes.	sparser	p(HGNC:MIF)	directlyDecreases	act(p(HGNC:ECSCR))
e39cc54c-e9e7-45ec-a7c7-56ae09a033ce	0.86	10537052	Among interleukin-1beta (IL-1beta), fibroblast growth factor-2, epidermal growth factor (EGF), amyloid beta1-42, and 50% O2, only EGF and IL-1beta altered the level of GIF in confluent astrocytes : EGF increased both GIF mRNA and protein, and IL-1beta decreased GIF mRNA, but did not alter GIF protein.	reach	p(HGNC:EGF)	directlyIncreases	act(p(HGNC:MIF))
4fe07310-adf5-49b6-9235-6f4e04bc70c2	0.95	10537052	Among interleukin-1beta (IL-1beta), fibroblast growth factor-2, epidermal growth factor (EGF), amyloid beta1-42, and 50% O2, only EGF and IL-1beta altered the level of GIF in confluent astrocytes : EGF increased both GIF mRNA and protein, and IL-1beta decreased GIF mRNA, but did not alter GIF protein.	reach	p(HGNC:EGF)	directlyDecreases	act(p(HGNC:MIF))
5b456b7d-d0ca-4b05-bf9f-f0fc03689f3d	0.95	10537052	Kinetic analysis of the GIF mRNA level revealed the biphasic regulation of GIF mRNA expression by IL-1beta, i.e., a transient up-regulation followed subsequently by down-regulation, explaining in part the discrepancy between the levels of GIF mRNA and protein in astrocytes treated with IL-1beta.	reach	p(HGNC:IL1B)	directlyIncreases	act(p(HGNC:MIF))
af32e25f-aeb1-446c-a5ed-8762f32596cc	0.95	10617637	Considering these results, it is suggested that 1) MIF plays an important role in the tissue destruction of rheumatoid joints via induction of the proteinases, and 2) MIF up-regulates MMP-1 and MMP-3 via tyrosine kinase-, protein kinase C-, and AP-1- dependent pathways, bypassing IL-1beta signal transduction.	reach	p(HGNC:MIF)	directlyIncreases	act(p(HGNC:MMP1))
8abbee03-1ae9-42fb-a122-0d5e7ffb8f1f	0.92	10617637	Considering these results, it is suggested that 1) MIF plays an important role in the tissue destruction of rheumatoid joints via induction of the proteinases, and 2) MIF up-regulates MMP-1 and MMP-3 via tyrosine kinase-, protein kinase C-, and AP-1- dependent pathways, bypassing IL-1beta signal transduction.	reach	p(HGNC:MIF)	directlyIncreases	act(p(HGNC:MMP3))
92b197cd-c23c-4ada-8531-ac88d4b82edf	0.95	11094508	Because there is a feedback control between MIF, glucose and insulin [XREF_BIBR, XREF_BIBR], it is possible that infusion of insulin and glucose can inhibit MIF production and release [XREF_BIBR], which is similar to their action on TNF [XREF_BIBR].	reach	p(HGNC:INS)	directlyDecreases	act(p(HGNC:MIF))
b8327416-0717-4fbc-a2b8-ae15173b60bf	0.95	11094508	In addition, the expression of MIF in adipocytes can be modulated by insulin and glucose [XREF_BIBR].	reach	p(HGNC:INS)	directlyIncreases	p(HGNC:MIF)
53ec0479-8118-41d8-b658-0f3932b6d198	0.86	11254703	GIF dramatically inhibited Th effector generation when it was added to B cells before pulsing with HEL-OVA, whereas it showed little to no effect when added after B cells were pulsed with Ag.	reach	p(HGNC:MIF)	directlyDecreases	act(p(HGNC:TH))
11bc6a62-7a14-47b7-a37a-7b8b0e8293c3	0.92	11407686	Recombinant human MIF up-regulated COX activity (P < 0.05) and COX-2 mRNA, but had no observable effect on COX-1.	reach	p(HGNC:MIF)	directlyIncreases	act(p(FPLX:COX))
3dfec113-8579-432a-b161-cd06ec34e8a0	0.98	11407686	Recombinant human MIF up-regulated COX activity (P < 0.05) and COX-2 mRNA, but had no observable effect on COX-1.	reach	p(HGNC:MIF)	directlyIncreases	act(p(HGNC:PTGS2))
7bd54b01-a8f6-4d57-81f3-f89db2c1a451	0.95	11522746	In vivo and in vitro blockade of MIF with the neutralizing anti-MIF antibody significantly inhibited the marked up-regulation of MIF, tumor necrosis factor alpha, inducible nitric oxide synthase, and intercellular adhesion molecule-1.	reach	p(HGNC:MIF)	directlyIncreases	act(p(HGNC:ICAM1))
