INDRA UUID	Belief	PMID	Evidence	API	Subject	Predicate	Object
24490d40-eb54-44a8-aae4-305a6a0edd38	0.86	10504438	After pretreating Langerhans cells with TNF-alpha, IL-4 inhibited both the migration of Langerhans cells and the expression of TNF-RII in a time dependent manner.	reach	p(HGNC:IL4)	directlyDecreases	p(HGNC:TNFRSF1B)
24490d40-eb54-44a8-aae4-305a6a0edd38	0.86	10504438	These results indicate that IL-4 inhibits the migratory activity of Langerhans cells by downregulating the expression of TNF-RII in human Langerhans cells and thereby modulates the immune response in the skin.	reach	p(HGNC:IL4)	directlyDecreases	p(HGNC:TNFRSF1B)
5949e408-c8ba-43f0-b098-b21ce17c13c8	0.86	11315843	Genetic variation in or near TNFRSF1B may predispose clinical neuropathy, reduced glycosylated hemoglobin, and increased HDL cholesterol in type 2 diabetes patients.	reach	p(HGNC:TNFRSF1B)	directlyIncreases	act(p(FPLX:HDL))
4371fdd5-3c2d-4fce-ae0b-4b24930cfc66	0.95	11562425	We also found that agonistic antibodies specific for either TNFR1 or TNFR2 stimulated IL-6 and RANTES secretion and activated p38 and p42/44 MAPKs.	reach	p(HGNC:TNFRSF1B)	directlyIncreases	act(p(HGNC:IL6))
9c1a2dd2-6d40-4ac6-ba22-0057e20ee6db	0.86	11672591	The results show that TGFbeta enhances the expression of CD154 (CD40L), TNFR2 and the production of TNFalpha.	reach	p(FPLX:TGFB)	directlyIncreases	p(HGNC:TNFRSF1B)
35e7b6a9-f187-4a90-8122-42f80474db07	0.95	11917000	Surprisingly, TNF deficiency did not affect overall cell loss, yet absence of TNF-R1 led to a strong reduction of neurodegeneration and lack of TNF-R2 led to an enhancement of neurodegeneration, indicative of TNF independent and TNF dependent processes in the retina, with TNF-R1 augmenting neuronal death and TNF-R2 promoting neuroprotection.	reach	p(HGNC:TNFRSF1A)	directlyIncreases	act(p(HGNC:TNFRSF1B))
c10b7078-539c-4ce9-beb5-85af3fb7cd8c	0.98	12077366	Costimulation or prestimulation of TNF-R2 enhanced caspase-8 processing.	reach	p(HGNC:TNFRSF1B)	directlyIncreases	act(p(HGNC:CASP8))
2dc17a83-e197-4732-af3e-9547a8f81e25	0.86	12093867	An Absence of TNF or TNFR1, but Not TNFR2, Partially Rescues the RIP associated Lethality.	reach	p(HGNC:TNFRSF1B)	directlyIncreases	act(p(HGNC:AGFG1))
d51eeb21-3e01-4ef8-b2c1-b6010b202f79	1.0	12093867	TNFR2 activates the transcription factor NF-kappaB presumably by recruiting TRAF1 and TRAF2 proteins to the receptor.	reach	p(HGNC:TNFRSF1B)	directlyIncreases	act(p(HGNC:TRAF1))
9935bfba-10be-4438-9ff5-e80679c1f8ea	0.95	12111363	Here we studied the influence of TNF and TNF receptors (TNFR) on intercellular adhesion molecule-1 (ICAM-1) and macrophage influx following chronic constrictive injury (CCI) in mice by three different paradigms : (1) C57BL and Wld mice with delayed TNF up-regulation, (2) in vivo inhibition of TNFR1 and TNFR2 by neutralizing antibodies, and (3) three different types of mice with a genetic deficiency for TNFR.	reach	p(HGNC:TNF)	directlyDecreases	act(p(HGNC:TNFRSF1B))
8f5156cf-6fd9-445b-95fb-35c528f566c8	0.86	12163468	In sympathetic neurons, which express only the neurotrophin receptors p75 and TrkA, p75 can be selectively activated by BDNF, and this was reported to lead to cell death ( xref ).	sparser	p(HGNC:BDNF)	directlyIncreases	act(p(HGNC:TNFRSF1B))
d1064724-bb16-4920-b0a0-e7a029a54bf5	0.92	14966521	However, in reconstituted non-neuronal systems, NgR1 and p75 together are unable to activate RhoA, suggesting that additional components of the receptor may exist.	sparser	p(HGNC:TNFRSF1B)	directlyIncreases	act(p(HGNC:RHOA))
8b7c04a9-320c-4c58-9744-c08b12cd5cb6	0.86	15525274	Both inactivation and activation of Ras by p75 are controlled by the phosphorylation state of the receptor&apos;s two intracellular tyrosines.	sparser	p(HGNC:TNFRSF1B)	directlyDecreases	act(p(FPLX:RAS))
8b7c04a9-320c-4c58-9744-c08b12cd5cb6	0.86	15525274	We found that p75 can directly bind the GTPases Ras and Rho and that the unstimulated p75 inactivates total cellular Ras through a differential influence on the dissociation of GDP and GTP from Ras and an exchange of bound Ras.	sparser	p(HGNC:TNFRSF1B)	directlyDecreases	act(p(FPLX:RAS))
08526244-8df3-4b64-bdb3-f528740c5915	0.86	15537450	Adenoviral overexpression of TBP-2 in osteoclast precursors inhibits Trx-1 expression, osteoclast formation, and AP-1 binding activity.	reach	p(HGNC:TNFRSF1B)	directlyDecreases	p(HGNC:TXN)
08526244-8df3-4b64-bdb3-f528740c5915	0.86	15537450	Adenoviral overexpression of human TBP-2 in precursors inhibited osteoclastogenesis and Trx-1 expression, inhibited sRANKL induced DNA binding of AP-1, but enhanced sRANKL induced DNA binding of NF-kappaB.	reach	p(HGNC:TNFRSF1B)	directlyDecreases	p(HGNC:TXN)
0eaed78b-b75f-413f-a324-100c71d22a00	0.95	16314839	Overexpression of TBP-2 in IL-2-independent cells suppressed the growth and partially restored responsiveness to IL-2.	reach	p(HGNC:TNFRSF1B)	directlyIncreases	act(p(HGNC:IL2))
f58ab7ed-3e07-4e76-ae8d-f26645fd15ce	0.95	16385659	In the present study, we have shown that TNFR2 is selectively upregulated by IL-1beta, TNF-alpha, or IFN-gamma treatment in astrocytes, while LPS does not affect TNFR2 mRNA expression.	reach	p(HGNC:IFNG)	directlyIncreases	act(p(HGNC:TNFRSF1B))
ba59106f-274d-4d81-8910-f472995fadb9	0.95	16385659	In the present study, we have shown that TNFR2 is selectively upregulated by IL-1beta, TNF-alpha, or IFN-gamma treatment in astrocytes, while LPS does not affect TNFR2 mRNA expression.	reach	p(HGNC:IL1B)	directlyIncreases	act(p(HGNC:TNFRSF1B))
e3d0c2a4-6e74-43c9-aa81-c535dbccd4c0	0.86	17030185	IFN-gamma priming increased TNFR1 and TNFR2 expression, and blocking antibody studies showed that TNFR2, but not TNFR1, was required for TNF induced barrier dysfunction.	reach	p(HGNC:IFNG)	directlyIncreases	p(HGNC:TNFRSF1B)
f58ab7ed-3e07-4e76-ae8d-f26645fd15ce	0.95	17034639	Recent studies demonstrated that a mixture of TNFalpha, IL-1beta and IFNgamma, which are all known to be present in the lungs of the patients with ARDS, stimulated the release of soluble TNF-R 1 but not TNF-R 2 from cell surfaces.	reach	p(HGNC:IFNG)	directlyIncreases	act(p(HGNC:TNFRSF1B))
ba59106f-274d-4d81-8910-f472995fadb9	0.95	17034639	Recent studies demonstrated that a mixture of TNFalpha, IL-1beta and IFNgamma, which are all known to be present in the lungs of the patients with ARDS, stimulated the release of soluble TNF-R 1 but not TNF-R 2 from cell surfaces.	reach	p(HGNC:IL1B)	directlyIncreases	act(p(HGNC:TNFRSF1B))
aef48ad9-e23e-429d-ba51-86d2003a9d9a	0.95	17254331	Blocking TNFR2 inhibits Fas upregulation in Idd9, but not NOD islets.	reach	p(HGNC:TNFRSF1B)	directlyIncreases	act(p(HGNC:FAS))
125cc659-c740-4ce2-8ee1-75671759d2b6	0.86	17254331	Blocking TNFR2 inhibits Fas upregulation in Idd9, but not NOD islets.	reach	p(HGNC:TNFRSF1B)	directlyIncreases	act(p(PFAM:PF06816))
aef48ad9-e23e-429d-ba51-86d2003a9d9a	0.95	17254331	Fas upregulation in beta cells is mediated by TNFR2, and colocalization of TNFR2 with the adaptor TRAF2 in NOD beta cells is altered.	reach	p(HGNC:TNFRSF1B)	directlyIncreases	act(p(HGNC:FAS))
aef48ad9-e23e-429d-ba51-86d2003a9d9a	0.95	17254331	However, TNFR2 clearly mediates Fas upregulation in beta cells in response to cytokines.	reach	p(HGNC:TNFRSF1B)	directlyIncreases	act(p(HGNC:FAS))
aef48ad9-e23e-429d-ba51-86d2003a9d9a	0.95	17254331	Susceptible NOD beta-cells show increased response to pro inflammatory cytokines, enhanced cell death and increased Fas upregulation, which is mediated by TNFR2.	reach	p(HGNC:TNFRSF1B)	directlyIncreases	act(p(HGNC:FAS))
b3919d13-6b29-444f-9b50-5499b664b532	0.95	17254331	TNFR2 maps within the Idd9 congenic interval and is therefore a plausible candidate gene for the Idd9 mediated control of TNF and IFNgamma responsiveness and islet resistance [XREF_BIBR].	reach	p(HGNC:TNFRSF1B)	directlyIncreases	act(p(HGNC:IFNG))
aef48ad9-e23e-429d-ba51-86d2003a9d9a	0.95	17254331	TNFR2 mediated Fas induction on beta cells, which is heightened in NOD mice, may promote islet sensitivity to CD8 mediated destruction.	reach	p(HGNC:TNFRSF1B)	directlyIncreases	act(p(HGNC:FAS))
aef48ad9-e23e-429d-ba51-86d2003a9d9a	0.95	17254331	TNFR2 mediates beta cell upregulation of the death receptor Fas in response to cytokines.	reach	p(HGNC:TNFRSF1B)	directlyIncreases	act(p(HGNC:FAS))
aef48ad9-e23e-429d-ba51-86d2003a9d9a	0.95	17254331	The authors show less abundance of CD8 T cells in Idd9 congenic islets, less induction of Fas by TNFRII signaling and note a difference in sequence in the TNFRII receptor in Idd9 congenic versus NOD mice adjacent to the TRAF2 binding site.	reach	p(HGNC:TNFRSF1B)	directlyIncreases	act(p(HGNC:FAS))
125cc659-c740-4ce2-8ee1-75671759d2b6	0.86	17254331	These results together suggest that the termination of TNFR2 signalling in NOD islets may be defective, and that this trait is corrected by Idd9 resistance genes.	reach	p(HGNC:TNFRSF1B)	directlyIncreases	act(p(PFAM:PF06816))
aef48ad9-e23e-429d-ba51-86d2003a9d9a	0.95	17254331	This suggests that TNFR2 mediated Fas upregulation in NOD islets is refractive to inhibition compared to Idd9 islets.	reach	p(HGNC:TNFRSF1B)	directlyIncreases	act(p(HGNC:FAS))
aef48ad9-e23e-429d-ba51-86d2003a9d9a	0.95	17254331	While Fas upregulation was significantly inhibited in Idd9 islets by addition of the blocking TNFR2 antibody (36% decrease, p = 0.02), Fas induction was only slightly decreased in NOD islets by the presence of the blocking antibody (13% decrease).	reach	p(HGNC:TNFRSF1B)	directlyIncreases	act(p(HGNC:FAS))
132309b7-1ab7-4d25-a7fe-dfe7c095c7aa	0.86	17292586	Further investigation revealed that ICAM-1 and VCAM-1 mRNA and protein are induced by TNFR1 (but not TNFR2) in a wholly NF-kappaB-dependent manner.	reach	p(HGNC:TNFRSF1B)	directlyIncreases	act(p(HGNC:VCAM1))
85d93955-5d55-457f-b9b9-9120ea5e1262	0.95	18094051	Reciprocally, inhibition of TNFR2 decreases Akt activation by NGF.	reach	p(HGNC:TNFRSF1B)	directlyIncreases	act(p(FPLX:AKT))
9935bfba-10be-4438-9ff5-e80679c1f8ea	0.95	18397796	In addition, EGCG attenuated TNFalpha mediated down-regulation of TNFalpha receptor 1 (TNFR1), but not TNFR2.	reach	p(HGNC:TNF)	directlyDecreases	act(p(HGNC:TNFRSF1B))
9935bfba-10be-4438-9ff5-e80679c1f8ea	0.95	18418902	The combination of TNFalpha plus Abeta42 treatment of middle-age neurons slightly decreased the TNFR1 : TNFR2 mRNA ratio relative to Abeta alone, but the same combination treatment of old neurons produced a large decline in the TNFR1 : TNFR2 ratio.	reach	p(HGNC:TNF)	directlyDecreases	act(p(HGNC:TNFRSF1B))
bec8ddbc-fa49-41e0-af4c-ea7b78ca9bbe	0.95	18425727	Although TBP-2 (-/-) DC and WT DC expressed comparable levels of MHC class II and costimulatory molecules such as CD40, CD80 and CD86, the IL-12p40, IL-12p70 and IL-6 productions of TBP-2 (-/-) DC were attenuated.	reach	p(HGNC:IL6)	directlyIncreases	act(p(HGNC:TNFRSF1B))
28162b8f-3469-4bb9-8c32-655265e5428e	0.86	18463260	Deletion of the tumor necrosis factor receptor type 2 (TNFR2) gene attenuated heat hyperalgesia and prevented TRPV1 upregulation in tumor bearing mice, whereas TNFR1 gene deletion played a minor role.	reach	p(HGNC:TNFRSF1B)	directlyIncreases	act(p(HGNC:TRPV1))
35e7b6a9-f187-4a90-8122-42f80474db07	0.95	18544042	XREF_BIBR Lastly, the infection studies in double TNF tm/tm x TNFR1 or R2 -/- transgenic mice rescued protection in TNF tm/tm x TNFR2 -/- mice and comparable protection in TNF tm/tm x TNFR1 -/- mice as in TNF tm/tm mice suggest that membrane signalling though TNFR2 likely provides host protection.	reach	p(HGNC:TNFRSF1A)	directlyIncreases	act(p(HGNC:TNFRSF1B))
d1064724-bb16-4920-b0a0-e7a029a54bf5	0.92	18625710	Because p75 lacks the GDP/GTP exchange factor domain, it has remained unclear how p75 activates RhoA.	sparser	p(HGNC:TNFRSF1B)	directlyIncreases	act(p(HGNC:RHOA))
a0ffed0d-0733-4e81-b8bf-738a457136d1	0.92	18824767	Female WT (C57BL/6J) had higher protein levels of SOCS3 and p-STAT3 compared to male WT, which was neutralized by deficiency of TNFR2 in female hearts, whereas ablation of TNFR2 did not significantly reduce SOCS3 levels and STAT3 activation in males (XREF_FIG).	reach	p(HGNC:TNFRSF1B)	directlyDecreases	p(HGNC:SOCS3)
a0ffed0d-0733-4e81-b8bf-738a457136d1	0.92	18824767	Herein, we further found that ablation of TNFR2 significantly reduced SOCS3 protein in females while double knockout of TNFR1 and TNFR2 augmented myocardial SOCS3 levels in both genders.	reach	p(HGNC:TNFRSF1B)	directlyDecreases	p(HGNC:SOCS3)
d932afbc-6faf-4097-a0cf-fe9a0535c58e	0.92	18824767	Herein, we further found that ablation of TNFR2 significantly reduced SOCS3 protein in females while double knockout of TNFR1 and TNFR2 augmented myocardial SOCS3 levels in both genders.	reach	p(HGNC:TNFRSF1B)	directlyDecreases	act(p(HGNC:SOCS3))
d932afbc-6faf-4097-a0cf-fe9a0535c58e	0.92	18824767	In addition, ablation of TNFR2 significantly decreased SOCS3 and STAT3 (mRNA and protein) in female hearts after I/R.	reach	p(HGNC:TNFRSF1B)	directlyDecreases	act(p(HGNC:SOCS3))
1fc60260-b158-48cb-abaf-0a6f8fdf68f6	0.86	18824767	In addition, ablation of TNFR2 significantly decreased SOCS3 and STAT3 (mRNA and protein) in female hearts after I/R.	reach	p(HGNC:TNFRSF1B)	directlyDecreases	act(p(HGNC:STAT3))
a0ffed0d-0733-4e81-b8bf-738a457136d1	0.92	18824767	Our results indicated that TNFR2 and TNFR1/2 ablation significantly decreased mRNA levels of SOCS3 and STAT3 in females, but not in males (XREF_FIG).	reach	p(HGNC:TNFRSF1B)	directlyDecreases	p(HGNC:SOCS3)
1fc60260-b158-48cb-abaf-0a6f8fdf68f6	0.86	18824767	Therefore, it is possible that TNFR2 ablation decreased the STAT3 pathway and thereby, reduced myocardial VEGF production (both mRNA and protein) in females.	reach	p(HGNC:TNFRSF1B)	directlyDecreases	act(p(HGNC:STAT3))
35e7b6a9-f187-4a90-8122-42f80474db07	0.95	18824767	These data suggest that TNFR1 may be responsible for activation of JNK or TNFR2 may downregulate myocardial JNK activation in males following I/R.	reach	p(HGNC:TNFRSF1A)	directlyIncreases	act(p(HGNC:TNFRSF1B))
3dd02fb0-537f-4255-be39-5243e9718606	0.94	18824767	These data suggest that TNFR1 may be responsible for activation of JNK or TNFR2 may downregulate myocardial JNK activation in males following I/R.	reach	p(HGNC:TNFRSF1B)	directlyDecreases	act(p(FPLX:JNK))
fa15dc50-6860-432c-8086-a60ca18f892b	0.92	18824767	These results suggest that improved post-ischemic myocardial function in females is likely associated with TNFR2 upregulated STAT3 activation and SOCS3 expression in females.	reach	p(HGNC:TNFRSF1B)	directlyIncreases	act(p(HGNC:STAT3))
a7fde2eb-679d-456e-b091-d25f60f89206	0.86	18974273	TBP-2 overexpression significantly inhibited PPARalpha mediated transcriptional activity induced by a specific PPARalpha ligand in vitro.	reach	p(HGNC:TNFRSF1B)	directlyDecreases	act(p(HGNC:PPARA))
8f5156cf-6fd9-445b-95fb-35c528f566c8	0.86	19074010	p75 activation by BDNF can induce apoptosis, particularly if not coexpressed with Trk receptors ( xref ; xref ).	sparser	p(HGNC:BDNF)	directlyIncreases	act(p(HGNC:TNFRSF1B))
35e7b6a9-f187-4a90-8122-42f80474db07	0.95	19179628	We observed that the NF-kappaB pathway is activated in colonic epithelia from DSS administered mice in association with upregulation of TNFR2 rather than TNFR1.	reach	p(HGNC:TNFRSF1A)	directlyIncreases	act(p(HGNC:TNFRSF1B))
ba59106f-274d-4d81-8910-f472995fadb9	0.95	19231998	IL-1beta induces metalloprotease dependent TNFR2 shedding and, potentially surface expression of both receptors.	reach	p(HGNC:IL1B)	directlyIncreases	act(p(HGNC:TNFRSF1B))
ba59106f-274d-4d81-8910-f472995fadb9	0.95	19231998	Interleukin-1beta rapidly and persistently enhanced soluble and surface TNFR2.	reach	p(HGNC:IL1B)	directlyIncreases	act(p(HGNC:TNFRSF1B))
ba59106f-274d-4d81-8910-f472995fadb9	0.95	19231998	These IL-1beta-mediated TNFR2 effects were similar to those of TNF-alpha, which also rapidly increased and sustained surface and shed levels, as well as results seen in human gingival fibroblasts, where IL-1beta selectively enhanced TNFR2 release without modifying TNFR1 (XREF_FIG) (data not shown).	reach	p(HGNC:IL1B)	directlyIncreases	act(p(HGNC:TNFRSF1B))
27fad494-6741-4b45-bec5-0f6e7ac57c0f	0.86	19231998	These data show that IL-1beta modestly upregulated surface expression of TNFR1 and TNFR2 over 24 h of incubation.	reach	p(HGNC:IL1B)	directlyIncreases	p(HGNC:TNFRSF1B)
484bce47-708d-4d17-97c4-230c4b3a88c9	0.94	19287455	It is noted that physiological expression levels of TRAF1 enhanced NFkappaB activation and interleukin-8 (IL8) production induced by TNFR2.	reach	p(HGNC:TNFRSF1B)	directlyIncreases	act(p(HGNC:CXCL8))
