INDRA UUID	Confidence	PMID	Evidence	Subject	Predicate	Object
f5243c85-a7d5-4896-84fe-1cb75029cf52	1.0	27503326	In the present studies, we found that inhibition of ADAM10 effectively reduced LRP1 shedding and increased Abeta transit across an in vitro model of the BBB.	p(HGNC:ADAM10)	directlyIncreases	act(p(HGNC:LRP1))
8c8d34ce-b8b3-47ee-97fd-4aee29307f44	1.0	24529141	In line, luciferase assays in HeLa cells showed that AngII enhanced the activity of the -25 G LRP1 but not that of the wild promoter in a dose dependent manner (B).	p(HGNC:AGT)	directlyIncreases	act(p(HGNC:LRP1))
d355e3dc-f898-4eed-b09a-007e25e2c83b	1.0	23167255	Fe65 mediates transactivation of LRP1 analogously [XREF_BIBR, XREF_BIBR].	p(HGNC:APBB1)	directlyIncreases	act(p(HGNC:LRP1))
3bf79778-b133-493e-8a4a-bb1d7e4f9c2c	1.0	16325772	These data indicate that during acute inflammation in humans plasma TG levels might be regulated independent of plasma apoA-V levels.After induction of the APR in mice by intraperitoneal injection of LPS, changes in plasma apoA-V levels were less dramatic compared with acute severe human sepsis (A).	p(HGNC:APOA5)	directlyIncreases	act(p(HGNC:LRP1))
9f9bcb9a-efe4-4b55-af7b-22dc77108068	1.0	22238606	These processes could be modified by apoE mediated trapping of LRP1 and therefore apoE recycling might be a regulatory component of this signal transduction machinery.	p(HGNC:APOE)	directlyIncreases	act(p(HGNC:LRP1))
9de1191e-76d5-44c7-a2ed-e043a48dcbc8	1.0	24596678	LRP-1 binds to ApoE linked Abeta as well as to Abeta alone (XREF_BIBR) and mediates endocytosis of the LRP-1/ApoE/Abeta-complex or LRP-1 and Abeta-complex (XREF_BIBR).	complex(p(HGNC:APOE), p(HGNC:LRP1))	directlyIncreases	act(p(HGNC:LRP1))
ebd1cca8-6110-4716-81d9-190d0f334c05	1.0	25936756	Thirdly, increased intraneuronal Abeta is found in AD model mice overexpressing a functional LRP1 minireceptor, mLRP2, which indicates a role for LRP1 in the etiology of AD and suggests that LRP1 likely mediates neuron Abeta internalization via receptor mediated endocytosis ().	p(HGNC:APP)	directlyIncreases	act(p(HGNC:LRP1))
f9226c7d-d538-491f-b22b-c8aa61b17d88	1.0	24596678	LRP-1 binds to ApoE linked Abeta as well as to Abeta alone (XREF_BIBR) and mediates endocytosis of the LRP-1/ApoE/Abeta-complex or LRP-1 and Abeta-complex (XREF_BIBR).	complex(p(HGNC:APP), p(HGNC:LRP1))	directlyIncreases	act(p(HGNC:LRP1))
b71da7a1-1a98-41ac-827b-4cef8c94c008	1.0	21289173	Abeta binding to HSPG may activate LRP1 signaling pathways, resulting in an enhancement of cellular Abeta uptake.	complex(p(HGNC:APP), p(HGNC:SDC2))	directlyIncreases	act(p(HGNC:LRP1))
71c3b838-a702-4af7-bc8b-48783a7ca714	1.0	25175736	In most cells, the ATF6 branch of the UPR can initiate the transcription of acute-phase response (APR)-associated genes.	p(HGNC:ATF6)	directlyIncreases	act(p(HGNC:LRP1))
88ef88a8-23af-4e55-82bd-fc10464a4928	1.0	23936774	Besides these metalloproteinases, tPA and BACE-1 were described to mediate shedding of LRP-1 [XREF_BIBR, XREF_BIBR].	p(HGNC:BACE1)	directlyIncreases	act(p(HGNC:LRP1))
9d6fe8b3-a513-4cf4-bd44-25f889c16e9e	1.0	23404896	We examined whether dietary fats (eg., saturated, polyunsaturated) modulated the association of LRP1 variants with anthropometric traits.	p(HGNC:C10orf90)	directlyIncreases	act(p(HGNC:LRP1))
